user_id,week,MCQ.TOT.FACT,MCQ.PERC.CO.FACT,EXC.TOT.FACT,EXC.PERC.CO.FACT,VID.TOT.FACT,MCQ.SH.TOT.FACT,TG.DENS.FACT,MC.EVAL.FACT,MC.ORIENT.FACT,CONTENT.ACCESS.FACT,ntimes
4,2,0,0,0,0,0,0,0,0,0,0,12
4,3,Q1,Q4,Q1,Q4,0,0,Q1,0,0,Q3,12
4,4,Q3,Q3,Q4,Q2,Q2,0,Q4,Q2,Q4,Q4,12
4,5,Q3,Q3,Q2,Q4,Q1,0,Q3,0,0,Q4,12
4,6,Q4,Q4,Q2,Q2,Q2,Q1,Q2,0,0,Q4,12
4,7,Q4,Q4,Q1,Q4,Q2,Q1,Q4,Q1,Q2,Q4,12
4,8,0,0,Q4,Q1,Q3,0,Q2,0,0,Q3,12
4,9,0,0,Q3,Q2,0,0,Q2,Q3,0,Q3,12
4,10,0,0,Q3,Q1,0,0,Q2,0,0,Q3,12
4,11,Q1,Q4,Q4,Q1,Q1,0,Q4,Q4,0,Q1,12
4,12,Q2,Q4,Q3,Q2,Q1,0,Q4,0,0,Q3,12
4,13,Q2,Q3,Q2,Q4,Q2,0,Q2,0,0,Q3,12
5,2,Q4,Q2,Q4,Q1,Q1,Q4,Q4,Q3,Q4,Q4,12
5,3,Q3,Q3,Q3,Q2,0,Q4,Q4,Q3,0,Q3,12
5,4,Q3,Q3,Q3,Q2,Q2,Q4,Q4,Q4,0,Q4,12
5,5,Q2,Q2,Q3,Q2,Q1,Q3,Q3,Q1,Q4,Q3,12
5,6,Q2,Q2,Q4,Q4,Q1,Q3,Q4,0,Q4,Q4,12
5,7,Q3,Q2,Q1,Q4,Q1,Q4,Q4,Q3,0,Q4,12
5,8,Q3,Q3,Q1,Q4,Q1,Q4,Q4,Q1,Q2,Q2,12
5,9,0,0,Q1,Q4,0,0,Q2,0,0,Q1,12
5,10,0,0,Q1,Q4,0,0,Q1,0,0,0,12
5,11,Q2,Q3,Q1,Q4,0,Q3,Q3,0,0,Q2,12
5,12,Q2,Q2,Q1,Q4,Q1,Q3,Q4,0,0,Q1,12
5,13,0,0,Q2,Q2,Q1,0,Q2,Q3,0,0,12
6,2,Q4,Q3,Q4,Q3,Q1,Q4,Q4,Q4,Q2,Q4,12
6,3,Q4,Q3,Q4,Q3,Q2,Q3,Q4,Q1,Q4,Q4,12
6,4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q3,Q3,Q4,12
6,5,Q4,Q2,Q2,Q3,0,Q1,Q3,0,0,Q4,12
6,6,Q3,Q3,Q4,Q3,Q3,Q1,Q3,0,0,Q4,12
6,7,Q3,Q1,Q3,Q4,Q2,0,Q3,0,0,Q3,12
6,8,Q4,Q4,Q4,Q3,Q4,0,Q4,0,0,Q4,12
6,9,Q3,Q3,Q4,Q4,Q3,Q1,Q4,0,0,Q4,12
6,10,Q2,Q3,Q4,Q1,Q3,0,Q3,0,0,Q3,12
6,11,0,0,Q3,Q2,Q1,0,Q4,0,0,Q4,12
6,12,Q4,Q2,Q3,Q3,Q4,Q1,Q4,0,0,Q4,12
6,13,Q4,Q4,Q4,Q4,0,0,Q1,0,0,Q3,12
10,2,0,0,Q4,Q1,Q1,0,Q2,Q1,Q4,Q3,12
10,3,0,0,Q3,Q1,0,0,Q1,0,Q2,Q1,12
10,4,0,0,Q4,Q1,0,0,Q1,0,0,Q1,12
10,5,0,0,Q3,Q2,0,0,Q2,0,0,Q2,12
10,6,Q3,Q2,Q2,Q1,Q4,Q4,Q4,Q2,Q4,Q4,12
10,7,0,0,Q4,Q2,0,0,Q2,0,0,Q2,12
10,8,0,0,Q3,Q2,0,0,Q2,0,0,Q1,12
10,9,0,0,Q3,Q3,0,0,Q2,0,0,0,12
10,10,0,0,Q2,Q3,0,0,Q2,0,Q1,Q1,12
10,11,0,0,Q4,Q2,0,0,Q2,0,0,0,12
10,12,0,0,Q1,Q3,0,0,Q3,0,Q1,Q1,12
10,13,Q3,Q4,Q3,Q2,Q3,Q3,Q3,0,0,Q1,12
11,2,Q4,Q2,Q2,Q3,Q2,Q2,Q4,Q4,Q2,Q4,12
11,3,Q4,Q1,Q2,Q3,Q4,0,Q3,Q4,0,Q3,12
11,4,Q3,Q2,Q3,Q2,Q3,Q4,Q4,Q4,0,Q1,12
11,5,Q3,Q3,Q2,Q3,Q2,Q3,Q4,Q4,0,Q4,12
11,6,Q2,Q2,Q1,Q4,Q1,Q2,Q1,0,0,Q1,12
11,7,Q4,Q3,Q1,Q4,Q1,Q4,Q4,Q4,0,Q4,12
11,8,0,0,Q1,Q4,0,0,Q2,Q3,0,Q1,12
11,9,Q3,Q2,Q1,Q4,Q1,Q4,Q4,Q1,Q1,Q3,12
11,10,Q2,Q3,Q1,Q4,Q2,Q3,Q1,Q1,0,Q1,12
11,11,Q2,Q4,Q1,Q4,Q1,Q2,Q3,0,0,Q1,12
11,12,Q3,Q3,Q1,Q4,Q1,Q3,Q4,Q2,0,Q2,12
11,13,Q1,Q4,Q1,Q4,Q1,0,Q2,0,0,Q2,12
12,2,Q2,Q3,Q2,Q3,0,Q2,Q3,Q2,0,Q3,12
12,3,Q3,Q2,Q2,Q3,0,Q3,Q2,Q2,0,Q2,12
12,4,Q2,Q4,Q1,Q4,Q1,0,Q3,0,0,Q3,12
12,5,Q1,Q1,Q2,Q3,0,0,Q2,0,0,Q1,12
12,6,Q1,Q4,Q1,Q1,0,Q1,Q1,0,0,Q3,12
12,7,Q3,Q1,Q4,Q2,Q3,Q2,Q4,Q1,0,Q4,12
12,8,Q2,Q4,Q2,Q3,Q1,Q2,Q4,0,0,Q4,12
12,9,Q4,Q2,Q2,Q3,Q3,Q4,Q4,0,0,Q4,12
12,10,Q2,Q3,Q2,Q2,Q3,Q3,Q4,0,0,Q1,12
12,11,Q1,0,Q3,Q2,0,Q2,Q3,0,0,Q2,12
12,12,Q2,Q3,Q2,Q3,0,Q2,Q4,Q3,0,Q2,12
12,13,Q1,Q4,Q3,Q2,0,Q1,Q3,0,0,Q3,12
13,2,Q4,Q3,0,0,Q2,Q4,Q2,0,Q1,Q4,12
13,3,Q4,Q2,Q3,Q4,Q1,Q3,Q3,0,0,Q2,12
13,4,Q1,Q1,Q3,Q2,0,Q1,Q2,0,Q2,Q3,12
13,5,Q3,Q2,Q2,Q1,0,Q3,Q3,Q1,0,Q4,12
13,6,Q4,Q4,Q4,Q1,0,Q4,Q3,0,Q1,Q3,12
13,7,Q2,Q4,Q2,Q3,0,Q2,Q3,0,0,Q3,12
13,8,0,0,Q1,Q3,0,0,Q2,0,0,Q2,12
13,9,Q1,Q3,Q4,Q1,0,Q1,Q3,0,0,Q4,12
13,10,Q3,Q3,Q3,Q1,0,Q3,Q2,0,0,Q2,12
13,11,Q3,Q3,Q3,Q2,0,Q3,Q3,0,0,Q4,12
13,12,0,0,Q4,Q1,0,0,Q3,0,0,Q2,12
13,13,Q3,Q3,Q3,Q2,0,Q4,Q4,0,0,Q3,12
16,2,Q1,Q4,Q3,Q2,0,0,Q2,0,0,Q1,12
16,3,Q1,Q1,Q2,Q3,0,Q2,Q4,Q4,0,Q3,12
16,4,Q4,Q3,Q3,Q2,Q2,Q4,Q2,Q2,0,Q2,12
16,5,Q4,Q3,Q4,Q1,Q2,Q4,Q4,Q2,Q1,Q1,12
16,6,Q2,Q4,Q2,Q4,Q1,Q3,Q1,0,0,Q3,12
16,7,Q4,Q3,Q1,Q4,Q1,Q4,Q3,Q2,0,Q2,12
16,8,Q2,Q3,Q1,Q4,Q2,Q4,Q3,0,0,Q2,12
16,9,Q2,Q3,Q1,Q4,Q2,Q3,Q3,Q2,0,Q3,12
16,10,0,0,Q1,Q4,0,0,Q1,0,0,0,12
16,11,0,0,Q1,Q4,0,0,Q1,0,0,Q4,12
16,12,0,0,Q1,Q4,0,0,Q1,0,0,Q3,12
16,13,Q2,Q4,Q1,Q4,0,Q2,Q1,0,0,Q3,12
17,2,Q4,Q3,Q2,Q3,Q4,Q3,Q4,Q4,Q4,Q3,12
17,3,Q3,Q1,Q2,Q3,Q4,Q3,Q4,Q2,0,Q2,12
17,4,Q3,Q3,Q1,Q4,Q4,0,Q4,Q2,Q1,Q1,12
17,5,Q3,Q4,Q2,Q4,Q4,0,Q3,Q2,0,Q2,12
17,6,Q2,Q4,Q1,Q3,Q1,0,Q2,Q2,0,Q3,12
17,7,0,0,Q4,Q1,Q1,0,Q3,Q1,0,Q1,12
17,8,Q3,Q1,Q3,Q1,Q4,0,Q4,Q1,0,Q2,12
17,9,Q3,Q4,Q3,Q2,Q4,Q1,Q4,0,0,Q4,12
17,10,Q4,Q2,Q2,Q3,Q4,0,Q4,0,0,Q2,12
17,11,Q3,Q3,Q2,Q3,Q4,0,Q4,0,0,Q3,12
17,12,Q2,Q1,Q2,Q3,Q4,0,Q4,0,0,Q2,12
17,13,Q3,Q3,Q3,Q4,Q4,Q1,Q1,0,0,Q1,12
18,2,Q3,Q2,Q1,Q4,Q2,Q3,Q4,Q4,0,Q4,12
18,3,Q3,Q4,Q3,Q2,Q4,Q1,Q4,Q3,0,Q4,12
18,4,Q4,Q3,Q4,Q4,Q4,Q3,Q4,Q3,0,Q4,12
18,5,Q3,Q1,Q2,Q3,Q4,0,Q4,Q4,Q1,Q4,12
18,6,Q4,Q3,Q4,Q4,Q2,0,Q4,Q4,Q1,Q4,12
18,7,0,0,Q3,Q2,0,0,Q3,Q2,0,Q4,12
18,8,Q3,Q3,Q4,Q3,Q4,0,Q4,Q3,Q1,Q4,12
18,9,Q3,Q3,Q4,Q2,Q4,0,Q4,Q4,0,Q4,12
18,10,Q4,Q4,Q4,Q4,Q4,0,Q3,0,0,Q1,12
18,11,Q4,Q3,Q4,Q3,Q4,0,Q4,Q2,Q1,Q4,12
18,12,Q2,Q1,Q4,Q3,Q4,Q2,Q4,Q3,Q1,Q4,12
18,13,Q4,Q4,Q4,Q4,Q2,Q1,Q4,Q1,Q1,Q4,12
20,2,Q4,Q3,Q4,Q3,Q4,Q4,0,Q4,Q4,Q4,12
20,3,Q4,Q4,Q2,Q4,Q2,0,Q4,Q4,Q1,Q4,12
20,4,Q4,Q3,Q4,Q3,Q2,0,Q4,Q4,0,Q4,12
20,5,Q4,Q3,Q2,Q3,Q1,0,Q4,Q4,0,Q4,12
20,6,Q2,Q3,Q2,Q2,Q1,0,Q2,Q3,0,Q2,12
20,7,Q3,Q1,Q3,Q2,Q1,0,Q4,Q4,Q1,Q3,12
20,8,0,0,0,0,0,0,Q1,Q1,0,Q1,12
20,9,Q1,Q1,Q3,Q2,Q1,0,Q4,Q4,Q4,Q4,12
20,10,Q1,Q1,Q3,Q2,Q2,0,Q3,Q3,0,Q2,12
20,11,0,0,Q2,Q3,0,0,Q2,Q1,0,Q1,12
20,12,0,0,Q3,Q2,0,0,Q2,0,0,Q4,12
20,13,Q1,Q1,Q3,Q2,0,0,Q2,0,0,0,12
21,2,Q4,Q3,Q1,Q4,Q3,Q1,Q3,0,0,Q4,12
21,3,Q2,Q4,Q1,Q4,Q1,Q1,Q2,Q2,0,Q3,12
21,4,0,0,0,0,0,0,Q1,0,0,Q2,12
21,5,0,0,0,0,0,0,0,0,0,0,12
21,6,Q4,Q4,Q2,Q4,Q4,Q1,Q4,Q4,0,Q4,12
21,7,Q4,Q4,Q3,Q4,Q4,Q1,Q4,Q4,0,Q4,12
21,8,Q1,Q4,Q1,Q4,Q3,0,Q3,0,0,Q4,12
21,9,Q1,Q4,Q1,Q4,Q1,0,Q3,0,0,Q3,12
21,10,0,0,0,0,0,0,Q1,0,0,Q1,12
21,11,0,0,Q1,Q3,0,0,Q3,0,0,Q4,12
21,12,Q3,Q4,Q2,Q4,Q4,0,Q3,0,Q3,Q2,12
21,13,Q4,Q4,Q1,Q4,Q3,Q2,Q4,0,Q4,Q3,12
24,2,Q3,Q4,Q1,Q4,Q3,Q1,Q3,Q2,0,Q3,12
24,3,Q4,Q3,Q1,Q4,Q1,0,Q3,Q3,Q2,Q2,12
24,4,Q4,Q3,Q2,Q3,Q2,0,Q3,Q2,0,Q3,12
24,5,Q4,Q3,Q1,Q4,Q4,0,Q4,Q1,0,Q3,12
24,6,Q4,Q3,Q3,Q4,Q4,0,Q2,0,0,Q3,12
24,7,Q4,Q4,Q3,Q2,Q3,0,Q4,Q1,Q2,Q3,12
24,8,Q3,Q3,Q1,Q4,Q4,0,Q3,0,0,Q4,12
24,9,0,0,Q2,Q4,Q1,0,Q3,0,0,Q3,12
24,10,Q4,Q4,Q1,Q4,Q2,0,Q3,0,0,Q3,12
24,11,Q3,Q2,Q1,Q4,Q4,0,Q3,0,0,Q1,12
24,12,0,0,Q2,Q3,Q1,0,Q3,0,0,Q1,12
24,13,Q4,Q4,Q2,Q4,Q3,0,Q2,Q3,0,0,12
29,2,Q4,Q4,Q1,Q4,Q4,Q3,Q4,Q1,Q4,Q4,12
29,3,Q3,Q3,Q1,Q4,Q2,Q1,Q3,0,Q2,Q4,12
29,4,Q3,Q3,Q2,Q3,Q1,Q2,Q3,0,0,Q4,12
29,5,0,0,Q4,Q1,0,0,Q1,0,0,0,12
29,6,Q4,Q4,Q3,Q4,Q1,Q3,Q2,0,Q1,Q4,12
29,7,Q3,Q1,Q1,Q4,Q1,Q2,Q3,0,0,Q4,12
29,8,Q2,Q1,Q2,Q4,Q1,Q3,Q4,0,0,Q4,12
29,9,Q3,Q3,Q2,Q4,Q1,Q3,Q4,0,0,Q2,12
29,10,Q2,Q1,Q1,Q4,Q2,Q4,Q4,0,0,Q4,12
29,11,Q2,Q1,Q3,Q2,Q1,0,Q4,0,0,Q3,12
29,12,0,0,Q4,Q1,0,0,Q2,0,0,0,12
29,13,Q2,Q4,Q3,Q4,Q2,Q1,Q4,0,0,Q2,12
30,2,Q3,Q1,Q3,Q4,Q1,Q1,Q3,0,0,Q3,12
30,3,Q2,Q2,Q1,Q4,0,Q1,Q2,0,0,Q1,12
30,4,Q1,Q1,Q2,Q3,Q2,Q1,Q3,Q1,0,Q1,12
30,5,0,0,Q1,Q4,0,0,Q2,0,0,Q1,12
30,6,Q3,Q3,Q3,Q4,Q3,Q1,Q3,Q1,Q1,Q2,12
30,7,Q1,Q4,Q2,Q3,Q1,0,Q3,Q4,0,Q3,12
30,8,Q3,Q2,Q1,Q4,Q2,0,Q4,Q1,0,Q3,12
30,9,Q1,Q1,Q2,Q3,Q1,0,Q4,0,0,Q1,12
30,10,Q1,Q4,0,0,Q2,0,Q3,0,0,Q1,12
30,11,Q1,Q2,Q1,Q4,Q2,0,Q4,0,0,Q1,12
30,12,0,0,Q2,Q3,Q2,0,Q3,0,0,Q2,12
30,13,Q4,Q4,Q3,Q4,Q4,Q2,Q2,0,0,Q1,12
32,2,0,0,0,0,0,0,Q1,0,0,Q1,12
32,3,Q1,Q2,Q4,Q4,0,Q1,Q1,0,0,Q1,12
32,4,0,0,Q1,Q3,0,0,Q1,0,0,Q1,12
32,5,0,0,Q2,Q3,0,0,Q1,0,0,0,12
32,6,Q2,Q3,Q4,Q3,0,Q1,Q1,0,0,Q1,12
32,7,0,0,Q1,Q4,0,0,Q1,0,0,Q2,12
32,8,0,0,Q2,Q3,0,0,Q2,0,0,0,12
32,9,0,0,Q2,Q4,0,0,Q2,0,0,Q4,12
32,10,0,0,Q2,Q3,0,0,Q2,0,0,Q3,12
32,11,0,0,Q2,Q3,0,0,Q2,0,Q2,Q2,12
32,12,0,0,Q2,Q2,0,0,Q2,0,0,0,12
32,13,0,0,Q1,Q1,0,0,Q4,0,Q2,Q3,12
33,2,Q4,Q1,Q2,Q3,Q1,Q4,Q4,Q2,0,Q3,12
