V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71
4,7,CONTENT_ACCESS/1,MCQ_CO/4,MCQ_IN/1,MCQ_CO/1,MCQ_IN/1,MCQ_CO/1,CONTENT_ACCESS/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,8,CONTENT_ACCESS/15,EXE_CO/1,EXE_IN/2,EXE_CO/1,EXE_IN/3,EXE_CO/5,CONTENT_ACCESS/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9,MC_ORIENT/3,EXE_IN/6,EXE_CO/1,EXE_IN/3,EXE_CO/1,EXE_IN/5,EXE_CO/3,EXE_IN/1,EXE_CO/2,EXE_IN/1,EXE_CO/2,EXE_IN/2,EXE_CO/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,CONTENT_ACCESS/2,EXE_CO/1,EXE_IN/6,EXE_CO/3,EXE_IN/1,EXE_CO/1,EXE_IN/7,EXE_CO/1,EXE_IN/2,EXE_CO/1,EXE_IN/3,CONTENT_ACCESS/1,VIDEO_PLAY/4,MCQ_IN/2,MCQ_CO/4,CONTENT_ACCESS/4,EXE_IN/4,EXE_CO/2,CONTENT_ACCESS/1,EXE_CO/1,EXE_IN/2,EXE_CO/4,EXE_IN/1,CONTENT_ACCESS/1,EXE_IN/2,MCQ_CO/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,CONTENT_ACCESS/12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,12,MC_EVAL/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,14,CONTENT_ACCESS/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,15,MCQ_IN/2,MCQ_CO/2,CONTENT_ACCESS/1,MCQ_CO/2,MC_EVAL/3,CONTENT_ACCESS/1,VIDEO_PLAY/5,MCQ_CO/2,MCQ_IN/1,MCQ_CO/1,VIDEO_PLAY/2,MCQ_CO/1,CONTENT_ACCESS/1,VIDEO_PLAY/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,16,MCQ_CO/2,MCQ_IN/3,MCQ_CO/1,MCQ_IN/1,MCQ_CO/1,CONTENT_ACCESS/2,MCQ_CO/4,CONTENT_ACCESS/2,MCQ_CO/1,MCQ_IN/1,MCQ_CO/1,CONTENT_ACCESS/3,MC_EVAL/1,EXE_CO/1,EXE_IN/1,CONTENT_ACCESS/2,EXE_CO/2,EXE_IN/1,EXE_CO/1,EXE_IN/1,EXE_CO/2,EXE_IN/1,EXE_CO/2,EXE_IN/2,EXE_CO/2,EXE_IN/4,EXE_CO/1,EXE_IN/2,EXE_CO/3,EXE_IN/1,EXE_CO/1,EXE_IN/2,EXE_CO/1,EXE_IN/1,EXE_CO/1,MCQ_IN/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,17,CONTENT_ACCESS/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
