user_id,new.cl.w2,new.cl.w3,new.cl.w4,new.cl.w5,new.cl.w6,new.cl.w7,new.cl.w8,new.cl.w9,new.cl.w10,new.cl.w11,new.cl.w12,new.cl.w13
4,DISENGAGED,SAS-MOSTLY_NEG-DIFF,HA_BAL_MC,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
5,A_POS-DIFF,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,MA_MANY-ACT_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,DISENGAGED,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
6,A_POS-DIFF,A_NEG-DIFF,HA_BAL_MC,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL
10,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_MANY-ACT_BAL_MC,SAS-ONLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF
11,A_POS-DIFF,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL
12,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
13,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL_MC,A_NEG-DIFF,SAS-ONLY_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
16,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,HA_BAL_MC,HA_NEG-DIFF_MC,DISENGAGED,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL
17,A_POS-DIFF,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
18,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,MA_ALL-ACT_BAL,HA_BAL_MC,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL
20,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,SAS-ONLY_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
21,MA_ALL-ACT_BAL,SAS-MOSTLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,HA_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,DISENGAGED,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL
24,A_POS-DIFF,A_NEG-DIFF,HA_BAL_MC,MA_ALL-ACT_BAL,HA_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_BAL,HA_BAL
29,MA_ALL-ACT_BAL,A_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
30,MA_ALL-ACT_BAL,SAS-MOSTLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,SAS-ONLY_BAL,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF
32,DISENGAGED,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
33,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL,HA_BAL
34,MA_ALL-ACT_BAL,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_BAL,MA_MANY-ACT_BAL_MC,SAS-ONLY_BAL,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
36,A_POS-DIFF,DISENGAGED,SAS-MOSTLY_NEG-DIFF,MA_ALL-ACT_BAL,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL
38,MA_ALL-ACT_BAL,SAS-MOSTLY_NEG-DIFF,HA_BAL_MC,SAS-ONLY_BAL,MA_MANY-ACT_BAL_MC,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_NEG-DIFF_MC,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
39,DISENGAGED,NA,SAS-ONLY_NEG-DIFF,NA,DISENGAGED,NA,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,NA,NA,A_POS-DIFF
