user_id,org.events,dboard.events,week
183,4,0,2
152,1,0,2
18,2,13,2
382,3,0,2
228,1,29,2
305,7,4,2
333,20,21,2
80,3,0,2
306,15,3,2
17,17,13,2
52,1,0,2
122,1,1,2
301,11,16,2
20,44,17,2
6,21,29,2
287,2,2,2
210,14,18,2
172,19,5,2
157,1,0,2
11,9,30,2
89,5,4,2
311,2,0,2
239,3,0,2
189,2,3,2
38,16,0,2
242,13,0,2
285,2,1,2
74,20,0,2
177,1,1,2
383,14,19,2
41,4,0,2
192,10,4,2
275,15,8,2
248,10,0,2
352,0,1,2
346,1,0,2
65,18,0,2
49,5,10,2
191,1,0,2
207,5,3,2
302,28,0,2
111,0,1,2
197,1,13,2
310,5,3,2
304,22,2,2
29,17,3,2
263,8,5,2
342,10,7,2
170,1,0,2
78,6,0,2
199,0,4,2
5,71,9,2
137,11,6,2
119,5,2,2
167,13,0,2
296,1,3,2
125,10,0,2
205,5,0,2
166,7,0,2
182,3,17,2
219,1,0,2
213,3,5,2
312,1,0,2
136,34,4,2
68,0,3,2
360,1,8,2
174,14,0,2
384,11,17,2
200,5,0,2
176,3,0,2
107,0,10,2
366,2,0,2
234,0,1,2
217,4,9,2
43,7,0,2
220,2,3,2
266,0,1,2
252,4,0,2
188,11,0,2
87,4,0,2
222,8,0,2
340,8,1,2
208,2,6,2
229,0,2,2
10,32,2,2
314,1,0,2
401,40,8,2
345,4,8,2
323,9,0,2
247,8,7,2
236,0,6,2
130,9,0,2
4,17,0,2
134,3,1,2
390,7,0,2
282,7,0,2
13,1,0,2
195,1,30,2
338,9,5,2
347,11,0,2
76,0,1,2
185,10,0,2
159,0,1,2
193,10,21,2
289,15,0,2
362,0,4,2
274,4,3,2
148,0,7,2
114,7,0,2
240,0,18,2
392,21,0,2
12,0,5,2
291,0,21,2
201,0,11,2
94,2,7,2
151,3,0,2
244,1,0,2
90,22,0,2
332,2,0,2
57,3,0,2
351,0,3,2
337,0,19,2
147,3,15,2
211,38,11,2
241,3,0,2
257,2,0,2
227,16,3,2
374,8,0,2
180,0,6,2
380,1,4,2
334,0,10,2
142,3,0,2
139,0,10,2
399,0,2,2
24,0,4,2
290,0,1,2
63,2,8,2
387,0,10,2
303,2,0,2
319,1,0,2
33,0,5,2
379,2,0,2
95,0,20,2
36,0,3,2
158,0,1,2
162,0,3,2
66,0,1,2
226,1,0,2
331,0,4,2
194,3,25,2
196,3,22,2
232,2,0,2
198,0,28,2
34,2,0,2
39,1,0,2
135,0,7,2
223,0,2,2
106,3,0,2
381,2,3,2
272,0,2,2
300,0,19,2
288,0,3,2
343,0,12,2
186,0,5,2
67,1,4,2
209,0,2,2
249,0,2,2
187,0,2,2
96,0,3,2
144,0,4,2
313,0,3,2
378,0,3,2
128,0,5,2
133,0,0,2
86,0,0,2
329,0,0,2
21,0,0,2
261,0,0,2
51,0,0,2
132,0,0,2
83,0,0,2
206,0,0,2
268,0,0,2
53,0,0,2
398,0,0,2
154,0,0,2
155,0,0,2
70,0,0,2
394,0,0,2
237,0,0,2
104,0,0,2
117,0,0,2
50,0,0,2
216,0,0,2
79,0,0,2
184,0,0,2
320,0,0,2
299,0,0,2
388,0,0,2
175,0,0,2
407,0,0,2
370,0,0,2
256,0,0,2
283,0,0,2
46,0,0,2
123,0,0,2
409,0,0,2
181,0,0,2
410,0,0,2
141,0,0,2
269,0,0,2
16,0,0,2
243,0,0,2
85,0,0,2
149,0,0,2
406,0,0,2
42,0,0,2
102,0,0,2
99,0,0,2
146,0,0,2
100,0,0,2
109,0,0,2
259,0,0,2
97,0,0,2
344,0,0,2
30,0,0,2
81,0,0,2
45,0,0,2
396,0,0,2
350,0,0,2
202,0,0,2
316,0,0,2
160,0,0,2
295,0,0,2
403,0,0,2
92,0,0,2
190,0,0,2
372,0,0,2
178,0,0,2
165,0,0,2
258,0,0,2
64,0,0,2
218,0,0,2
60,0,0,2
105,0,0,2
47,0,0,2
62,0,0,2
108,0,0,2
298,0,0,2
371,0,0,2
127,0,0,2
260,0,0,2
267,0,0,2
