user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13
4,1,1,1,1,1,1,1,1,1,1,1,1
5,2,2,2,1,1,1,2,2,2,1,1,1
6,3,3,1,1,1,1,2,3,3,1,1,2
10,4,4,3,2,1,2,3,2,4,2,2,1
11,3,2,2,1,1,1,4,3,4,1,1,1
12,2,3,2,2,2,1,5,3,3,2,1,3
13,5,3,3,1,3,1,4,1,3,1,3,4
16,5,3,1,3,2,1,5,3,2,3,2,1
17,3,3,2,1,2,2,5,3,3,1,1,4
18,3,2,1,1,4,2,5,3,4,1,1,2
20,3,2,1,1,2,1,4,3,3,2,4,3
21,5,1,4,4,3,1,5,1,2,1,1,2
24,2,3,1,1,4,1,5,1,3,1,4,2
29,5,3,2,2,4,1,2,3,3,1,3,3
30,5,1,5,4,1,3,5,1,3,1,4,5
32,1,4,4,2,2,4,3,2,4,2,4,1
33,2,3,2,1,1,1,5,1,3,3,2,2
34,5,4,2,4,1,3,5,2,4,2,4,1
36,2,1,5,4,5,3,3,2,2,3,2,1
38,5,4,1,4,1,1,5,2,5,4,4,1
39,1,NA,3,NA,2,NA,1,4,2,NA,NA,4
40,5,1,4,4,1,2,1,4,1,2,3,5
41,5,4,2,2,1,2,1,4,1,1,4,1
42,1,3,3,4,5,4,4,NA,NA,3,2,1
43,5,4,3,2,3,4,1,2,1,2,4,5
45,5,3,2,1,1,1,2,3,3,1,1,2
46,5,3,1,1,2,4,4,4,4,1,4,3
47,5,1,5,1,1,3,3,2,1,2,3,1
49,3,3,2,4,4,3,5,1,4,3,2,3
50,5,2,2,1,3,1,5,3,3,4,4,4
51,1,4,3,2,5,2,3,2,NA,1,2,1
52,2,3,5,1,1,3,5,3,3,2,NA,1
53,5,3,3,4,2,2,1,4,1,2,4,4
57,5,3,2,1,2,1,1,4,1,1,1,2
58,5,3,5,1,4,1,5,2,3,1,1,3
60,4,4,3,4,1,2,3,2,1,2,4,1
61,1,1,3,4,1,3,1,2,4,2,3,1
62,4,1,3,2,3,2,1,4,NA,2,3,2
63,5,2,2,2,3,1,4,2,4,1,3,5
64,5,4,2,2,2,2,3,4,1,2,4,5
65,2,1,3,2,2,2,4,4,1,2,3,4
66,4,4,2,1,2,1,1,2,4,2,4,3
67,5,1,5,4,5,2,NA,2,2,NA,2,NA
68,2,3,2,1,2,3,2,2,3,1,2,4
70,5,3,5,4,2,2,3,1,2,2,4,1
72,NA,1,4,4,5,NA,2,1,NA,3,2,5
74,5,4,2,2,4,4,3,2,2,3,1,5
76,1,1,2,1,5,2,5,2,3,1,1,1
77,4,4,4,2,2,3,4,2,1,2,4,1
78,5,3,2,1,1,4,3,4,1,2,3,3
79,5,3,4,4,4,3,3,2,4,2,2,3
80,5,4,2,4,1,4,1,4,4,2,3,4
81,1,4,2,2,2,1,4,1,4,1,4,1
83,5,3,2,1,2,2,3,2,1,2,3,1
85,1,3,5,2,5,2,3,4,1,2,4,4
86,4,3,3,2,2,2,1,4,1,2,4,3
87,4,4,2,2,2,3,3,2,2,2,2,1
89,5,4,2,1,4,4,4,2,2,3,4,5
90,5,1,2,4,1,2,4,2,NA,NA,2,1
92,5,4,2,1,1,1,2,3,5,1,1,5
94,5,2,1,3,1,1,5,3,2,4,3,1
95,3,3,5,2,2,2,3,4,1,2,4,1
96,1,1,5,2,3,4,3,4,1,2,3,5
97,1,1,3,2,1,4,3,4,1,2,2,5
99,5,4,2,1,1,1,3,2,4,2,4,1
100,5,4,3,4,2,2,1,4,1,1,4,4
102,1,4,2,2,2,4,4,4,2,2,2,3
104,4,1,3,4,1,4,3,4,1,2,4,1
105,5,3,2,2,1,2,3,2,5,1,4,3
