user_id,W2_Sun_MCQ,W2_Sun_EXE,W2_Sun_VIDEO,W2_Sun_RES,W2_Sun_METACOG,W2_Mon_MCQ,W2_Mon_EXE,W2_Mon_VIDEO,W2_Mon_RES,W2_Mon_METACOG,W2_Tue_MCQ,W2_Tue_EXE,W2_Tue_VIDEO,W2_Tue_RES,W2_Tue_METACOG,W2_Wed_MCQ,W2_Wed_EXE,W2_Wed_VIDEO,W2_Wed_RES,W2_Wed_METACOG,W2_Thu_MCQ,W2_Thu_EXE,W2_Thu_VIDEO,W2_Thu_RES,W2_Thu_METACOG,W2_Fri_MCQ,W2_Fri_EXE,W2_Fri_VIDEO,W2_Fri_RES,W2_Fri_METACOG,W2_Sat_MCQ,W2_Sat_EXE,W2_Sat_VIDEO,W2_Sat_RES,W2_Sat_METACOG,W3_Sun_MCQ,W3_Sun_EXE,W3_Sun_VIDEO,W3_Sun_RES,W3_Sun_METACOG,W3_Mon_MCQ,W3_Mon_EXE,W3_Mon_VIDEO,W3_Mon_RES,W3_Mon_METACOG,W3_Tue_MCQ,W3_Tue_EXE,W3_Tue_VIDEO,W3_Tue_RES,W3_Tue_METACOG,W3_Wed_MCQ,W3_Wed_EXE,W3_Wed_VIDEO,W3_Wed_RES,W3_Wed_METACOG,W3_Thu_MCQ,W3_Thu_EXE,W3_Thu_VIDEO,W3_Thu_RES,W3_Thu_METACOG,W3_Fri_MCQ,W3_Fri_EXE,W3_Fri_VIDEO,W3_Fri_RES,W3_Fri_METACOG,W3_Sat_MCQ,W3_Sat_EXE,W3_Sat_VIDEO,W3_Sat_RES,W3_Sat_METACOG,W4_Sun_MCQ,W4_Sun_EXE,W4_Sun_VIDEO,W4_Sun_RES,W4_Sun_METACOG,W4_Mon_MCQ,W4_Mon_EXE,W4_Mon_VIDEO,W4_Mon_RES,W4_Mon_METACOG,W4_Tue_MCQ,W4_Tue_EXE,W4_Tue_VIDEO,W4_Tue_RES,W4_Tue_METACOG,W4_Wed_MCQ,W4_Wed_EXE,W4_Wed_VIDEO,W4_Wed_RES,W4_Wed_METACOG,W4_Thu_MCQ,W4_Thu_EXE,W4_Thu_VIDEO,W4_Thu_RES,W4_Thu_METACOG,W4_Fri_MCQ,W4_Fri_EXE,W4_Fri_VIDEO,W4_Fri_RES,W4_Fri_METACOG,W4_Sat_MCQ,W4_Sat_EXE,W4_Sat_VIDEO,W4_Sat_RES,W4_Sat_METACOG,W5_Sun_MCQ,W5_Sun_EXE,W5_Sun_VIDEO,W5_Sun_RES,W5_Sun_METACOG,W5_Mon_MCQ,W5_Mon_EXE,W5_Mon_VIDEO,W5_Mon_RES,W5_Mon_METACOG,W5_Tue_MCQ,W5_Tue_EXE,W5_Tue_VIDEO,W5_Tue_RES,W5_Tue_METACOG,W5_Wed_MCQ,W5_Wed_EXE,W5_Wed_VIDEO,W5_Wed_RES,W5_Wed_METACOG,W5_Thu_MCQ,W5_Thu_EXE,W5_Thu_VIDEO,W5_Thu_RES,W5_Thu_METACOG,W5_Fri_MCQ,W5_Fri_EXE,W5_Fri_VIDEO,W5_Fri_RES,W5_Fri_METACOG,W5_Sat_MCQ,W5_Sat_EXE,W5_Sat_VIDEO,W5_Sat_RES,W5_Sat_METACOG,W6_Sun_MCQ,W6_Sun_EXE,W6_Sun_VIDEO,W6_Sun_RES,W6_Sun_METACOG,W6_Mon_MCQ,W6_Mon_EXE,W6_Mon_VIDEO,W6_Mon_RES,W6_Mon_METACOG,W6_Tue_MCQ,W6_Tue_EXE,W6_Tue_VIDEO,W6_Tue_RES,W6_Tue_METACOG,W6_Wed_MCQ,W6_Wed_EXE,W6_Wed_VIDEO,W6_Wed_RES,W6_Wed_METACOG,W6_Thu_MCQ,W6_Thu_EXE,W6_Thu_VIDEO,W6_Thu_RES,W6_Thu_METACOG,W6_Fri_MCQ,W6_Fri_EXE,W6_Fri_VIDEO,W6_Fri_RES,W6_Fri_METACOG,W6_Sat_MCQ,W6_Sat_EXE,W6_Sat_VIDEO,W6_Sat_RES,W6_Sat_METACOG,W7_Sun_MCQ,W7_Sun_EXE,W7_Sun_VIDEO,W7_Sun_RES,W7_Sun_METACOG,W7_Mon_MCQ,W7_Mon_EXE,W7_Mon_VIDEO,W7_Mon_RES,W7_Mon_METACOG,W7_Tue_MCQ,W7_Tue_EXE,W7_Tue_VIDEO,W7_Tue_RES,W7_Tue_METACOG,W7_Wed_MCQ,W7_Wed_EXE,W7_Wed_VIDEO,W7_Wed_RES,W7_Wed_METACOG,W7_Thu_MCQ,W7_Thu_EXE,W7_Thu_VIDEO,W7_Thu_RES,W7_Thu_METACOG,W7_Fri_MCQ,W7_Fri_EXE,W7_Fri_VIDEO,W7_Fri_RES,W7_Fri_METACOG,W7_Sat_MCQ,W7_Sat_EXE,W7_Sat_VIDEO,W7_Sat_RES,W7_Sat_METACOG,W8_Sun_MCQ,W8_Sun_EXE,W8_Sun_VIDEO,W8_Sun_RES,W8_Sun_METACOG,W8_Mon_MCQ,W8_Mon_EXE,W8_Mon_VIDEO,W8_Mon_RES,W8_Mon_METACOG,W8_Tue_MCQ,W8_Tue_EXE,W8_Tue_VIDEO,W8_Tue_RES,W8_Tue_METACOG,W8_Wed_MCQ,W8_Wed_EXE,W8_Wed_VIDEO,W8_Wed_RES,W8_Wed_METACOG,W8_Thu_MCQ,W8_Thu_EXE,W8_Thu_VIDEO,W8_Thu_RES,W8_Thu_METACOG,W8_Fri_MCQ,W8_Fri_EXE,W8_Fri_VIDEO,W8_Fri_RES,W8_Fri_METACOG,W8_Sat_MCQ,W8_Sat_EXE,W8_Sat_VIDEO,W8_Sat_RES,W8_Sat_METACOG,W9_Sun_MCQ,W9_Sun_EXE,W9_Sun_VIDEO,W9_Sun_RES,W9_Sun_METACOG,W9_Mon_MCQ,W9_Mon_EXE,W9_Mon_VIDEO,W9_Mon_RES,W9_Mon_METACOG,W9_Tue_MCQ,W9_Tue_EXE,W9_Tue_VIDEO,W9_Tue_RES,W9_Tue_METACOG,W9_Wed_MCQ,W9_Wed_EXE,W9_Wed_VIDEO,W9_Wed_RES,W9_Wed_METACOG,W9_Thu_MCQ,W9_Thu_EXE,W9_Thu_VIDEO,W9_Thu_RES,W9_Thu_METACOG,W9_Fri_MCQ,W9_Fri_EXE,W9_Fri_VIDEO,W9_Fri_RES,W9_Fri_METACOG,W9_Sat_MCQ,W9_Sat_EXE,W9_Sat_VIDEO,W9_Sat_RES,W9_Sat_METACOG,W10_Sun_MCQ,W10_Sun_EXE,W10_Sun_VIDEO,W10_Sun_RES,W10_Sun_METACOG,W10_Mon_MCQ,W10_Mon_EXE,W10_Mon_VIDEO,W10_Mon_RES,W10_Mon_METACOG,W10_Tue_MCQ,W10_Tue_EXE,W10_Tue_VIDEO,W10_Tue_RES,W10_Tue_METACOG,W10_Wed_MCQ,W10_Wed_EXE,W10_Wed_VIDEO,W10_Wed_RES,W10_Wed_METACOG,W10_Thu_MCQ,W10_Thu_EXE,W10_Thu_VIDEO,W10_Thu_RES,W10_Thu_METACOG,W10_Fri_MCQ,W10_Fri_EXE,W10_Fri_VIDEO,W10_Fri_RES,W10_Fri_METACOG,W10_Sat_MCQ,W10_Sat_EXE,W10_Sat_VIDEO,W10_Sat_RES,W10_Sat_METACOG,W11_Sun_MCQ,W11_Sun_EXE,W11_Sun_VIDEO,W11_Sun_RES,W11_Sun_METACOG,W11_Mon_MCQ,W11_Mon_EXE,W11_Mon_VIDEO,W11_Mon_RES,W11_Mon_METACOG,W11_Tue_MCQ,W11_Tue_EXE,W11_Tue_VIDEO,W11_Tue_RES,W11_Tue_METACOG,W11_Wed_MCQ,W11_Wed_EXE,W11_Wed_VIDEO,W11_Wed_RES,W11_Wed_METACOG,W11_Thu_MCQ,W11_Thu_EXE,W11_Thu_VIDEO,W11_Thu_RES,W11_Thu_METACOG,W11_Fri_MCQ,W11_Fri_EXE,W11_Fri_VIDEO,W11_Fri_RES,W11_Fri_METACOG,W11_Sat_MCQ,W11_Sat_EXE,W11_Sat_VIDEO,W11_Sat_RES,W11_Sat_METACOG,W12_Sun_MCQ,W12_Sun_EXE,W12_Sun_VIDEO,W12_Sun_RES,W12_Sun_METACOG,W12_Mon_MCQ,W12_Mon_EXE,W12_Mon_VIDEO,W12_Mon_RES,W12_Mon_METACOG,W12_Tue_MCQ,W12_Tue_EXE,W12_Tue_VIDEO,W12_Tue_RES,W12_Tue_METACOG,W12_Wed_MCQ,W12_Wed_EXE,W12_Wed_VIDEO,W12_Wed_RES,W12_Wed_METACOG,W12_Thu_MCQ,W12_Thu_EXE,W12_Thu_VIDEO,W12_Thu_RES,W12_Thu_METACOG,W12_Fri_MCQ,W12_Fri_EXE,W12_Fri_VIDEO,W12_Fri_RES,W12_Fri_METACOG,W12_Sat_MCQ,W12_Sat_EXE,W12_Sat_VIDEO,W12_Sat_RES,W12_Sat_METACOG,W13_Sun_MCQ,W13_Sun_EXE,W13_Sun_VIDEO,W13_Sun_RES,W13_Sun_METACOG,W13_Mon_MCQ,W13_Mon_EXE,W13_Mon_VIDEO,W13_Mon_RES,W13_Mon_METACOG,W13_Tue_MCQ,W13_Tue_EXE,W13_Tue_VIDEO,W13_Tue_RES,W13_Tue_METACOG,W13_Wed_MCQ,W13_Wed_EXE,W13_Wed_VIDEO,W13_Wed_RES,W13_Wed_METACOG,W13_Thu_MCQ,W13_Thu_EXE,W13_Thu_VIDEO,W13_Thu_RES,W13_Thu_METACOG,W13_Fri_MCQ,W13_Fri_EXE,W13_Fri_VIDEO,W13_Fri_RES,W13_Fri_METACOG,W13_Sat_MCQ,W13_Sat_EXE,W13_Sat_VIDEO,W13_Sat_RES,W13_Sat_METACOG
679,16,41,0,9,0,0,0,0,41,2,5,1,7,19,0,1,0,75,4,0,2,79,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,50,12,0,0,0,0,6,0,0,0,0,0,0,6,111,59,10,0,0,0,0,2,0,0,0,0,0,0,5,54,23,17,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,8,91,129,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,12,27,16,25,0,0,0,0,0,0,0,0,0,0,0,25,116,86,24,0,4,5,0,13,0,0,0,0,12,0,0,0,0,0,0,0,13,0,20,0,24,35,12,19,0,17,0,6,11,0,21,189,3,27,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,39,0,8,0,0,0,0,45,0,0,0,0,0,0,27,51,49,23,0,0,0,0,0,0,0,0,0,0,0,0,85,0,9,0,0,0,19,7,0,0,0,0,16,0,0,0,0,0,0,0,19,0,4,0,0,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,0,0,0,18,0,0,0,0,5,0,17,59,133,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,10,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,34,0,43,0,0,0,0,24,0,2,0,0,12,0,0,53,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,1,3,0,10,29,0,52,5,8,15,0,0,0,0,0,0,0,47,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,15,0,26,24,69,19,0,0,0,0,5,0,3,57,0,7,0
680,0,0,0,5,0,7,32,0,35,1,11,0,6,25,8,0,0,0,0,0,41,44,0,25,8,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,32,0,10,0,0,0,0,2,0,0,0,0,0,0,18,0,0,11,0,45,74,0,20,1,0,0,0,5,0,0,0,0,27,0,0,20,0,28,0,0,0,0,6,1,0,0,0,0,0,35,0,0,16,0,29,48,0,17,1,0,0,0,0,0,137,250,31,62,0,0,0,0,31,0,0,0,0,4,0,0,0,0,0,0,53,40,3,21,0,0,0,0,0,0,74,14,9,37,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,5,0,201,238,0,55,0,7,2,0,32,0,15,82,21,9,0,48,85,12,35,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,0,19,48,0,21,137,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,18,0,0,0,0,0,0,10,0,0,1,0,33,30,0,31,0,0,0,0,0,0,0,0,0,4,0,1,2,0,42,0,0,0,0,0,0,0,0,0,0,0,27,3,0,23,0,0,44,0,34,2,0,0,0,10,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,27,23,0,38,0,0,14,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,44,0,0,0,0,0,0,0,0,0,2,0,25,29,23,16,0,0,5,0,16,0,0,0,0,2,0,0,0,0,11,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
681,0,0,0,0,0,6,0,0,6,0,6,0,0,38,7,0,0,0,5,0,0,0,0,0,0,0,71,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,15,22,3,10,15,0,23,2,0,39,0,3,0,0,67,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,39,9,12,6,0,0,0,0,0,0,80,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,10,0,16,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,9,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,129,25,17,4,0,13,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0,8,8,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,61,0,21,0,0,0,0,0,0,0,35,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,17,0,29,29,36,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,14,54,14,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,0,0,0,0,0,6,2,9,7,1,0,50,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,51,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,139,26,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,68,49,0,118,0,62,33,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,0,94,0,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,4,0,0,1,0,7,0,0,60,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2,0,0,72,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,0,0,0,0,0,21,31,0,49,9,0,0,0,0,0,0,0,0,0,0,57,80,27,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,71,3,13,1,0,0,0,0,0,0,0,0,0,0,0,85,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,38,15,78,2,0,0,0,0,0,0,0,0,0,0,0,108,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,4,0,9,4,0,0,0,0,0,0,0,0,0,0,0,29,0,24,1,0,0,0,24,0,25,2,75,27,4,8,3,0,32,0,150,3,189,49,0,12,0,0,1,0,0,0,0,0,0,0,27,0,5,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,34,61,11,11,2,0,0,0,13,1,0,0,0,0,0,0,57,0,9,0,0,0,0,11,0,0,1,0,13,0,0,6,0,24,0,39,67,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,41,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,32,61,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,11,0,0,0,0,0,0,0,0,0,0,0,0,71,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,512,0,20,0,0,0,0,0,0,15,0,184,78,0,84,51,31,58,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,142,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,9,0,0,20,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,0,0,0,0,0,9,42,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,5,56,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,37,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,27,40,21,19,7,2,0,0,15,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,26,0,2,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,0,62,67,20,23,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,45,28,10,6,0,0,0,0,0,0,35,0,3,0,16,15,66,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,108,0,8,0,0,0,0,5,0,0,0,0,7,0,0,31,0,4,0,0,0,0,0,0,25,4,0,20,0,1,0,0,4,0,23,170,0,37,0,0,0,0,0,0,0,0,0,0,0,0,45,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,111,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,68,31,41,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,84,0,2,0,0,0,0,0,0,0,0,0,0,0,0,61,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,35,0,4,0,0,0,0,28,0,0,0,0,0,0,0,70,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,6,0,0,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,126,13,27,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,3,2,0,40,69,40,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,1,0,0,0,0,0,0,37,0,3,0,0,97,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,26,0,2,7,3,8,9,6,13,1,40,21,3,17,0,16,6,16,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,9,1,0,61,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,71,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,55,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,65,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,55,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,49,0,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,0,0,0,0,0,0,0,0,0,0,6,0,0,34,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,36,80,59,15,0,0,0,26,0,41,82,68,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,35,2,12,0,0,0,0,21,0,18,84,63,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0,0,0,0,36,0,17,110,18,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,48,51,1,0,0,0,12,0,171,295,247,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,6,0,27,4,0,0,17,0,7,0,2,0,0,34,0,15,62,53,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,62,11,0,0,0,0,28,0,18,96,61,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,4,10,0,9,1,70,27,0,18,27,39,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,17,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,29,0,7,0,0,0,0,19,0,0,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
