user_id,W2_Sun_ontopic,W2_Sun_revisit,W2_Sun_metacog,W2_Sun_orient,W2_Sun_prj,W2_Mon_ontopic,W2_Mon_revisit,W2_Mon_metacog,W2_Mon_orient,W2_Mon_prj,W2_Tue_ontopic,W2_Tue_revisit,W2_Tue_metacog,W2_Tue_orient,W2_Tue_prj,W2_Wed_ontopic,W2_Wed_revisit,W2_Wed_metacog,W2_Wed_orient,W2_Wed_prj,W2_Thu_ontopic,W2_Thu_revisit,W2_Thu_metacog,W2_Thu_orient,W2_Thu_prj,W2_Fri_ontopic,W2_Fri_revisit,W2_Fri_metacog,W2_Fri_orient,W2_Fri_prj,W2_Sat_ontopic,W2_Sat_revisit,W2_Sat_metacog,W2_Sat_orient,W2_Sat_prj,W3_Sun_ontopic,W3_Sun_revisit,W3_Sun_metacog,W3_Sun_orient,W3_Sun_prj,W3_Mon_ontopic,W3_Mon_revisit,W3_Mon_metacog,W3_Mon_orient,W3_Mon_prj,W3_Tue_ontopic,W3_Tue_revisit,W3_Tue_metacog,W3_Tue_orient,W3_Tue_prj,W3_Wed_ontopic,W3_Wed_revisit,W3_Wed_metacog,W3_Wed_orient,W3_Wed_prj,W3_Thu_ontopic,W3_Thu_revisit,W3_Thu_metacog,W3_Thu_orient,W3_Thu_prj,W3_Fri_ontopic,W3_Fri_revisit,W3_Fri_metacog,W3_Fri_orient,W3_Fri_prj,W3_Sat_ontopic,W3_Sat_revisit,W3_Sat_metacog,W3_Sat_orient,W3_Sat_prj,W4_Sun_ontopic,W4_Sun_revisit,W4_Sun_metacog,W4_Sun_orient,W4_Sun_prj,W4_Mon_ontopic,W4_Mon_revisit,W4_Mon_metacog,W4_Mon_orient,W4_Mon_prj,W4_Tue_ontopic,W4_Tue_revisit,W4_Tue_metacog,W4_Tue_orient,W4_Tue_prj,W4_Wed_ontopic,W4_Wed_revisit,W4_Wed_metacog,W4_Wed_orient,W4_Wed_prj,W4_Thu_ontopic,W4_Thu_revisit,W4_Thu_metacog,W4_Thu_orient,W4_Thu_prj,W4_Fri_ontopic,W4_Fri_revisit,W4_Fri_metacog,W4_Fri_orient,W4_Fri_prj,W4_Sat_ontopic,W4_Sat_revisit,W4_Sat_metacog,W4_Sat_orient,W4_Sat_prj,W5_Sun_ontopic,W5_Sun_revisit,W5_Sun_metacog,W5_Sun_orient,W5_Sun_prj,W5_Mon_ontopic,W5_Mon_revisit,W5_Mon_metacog,W5_Mon_orient,W5_Mon_prj,W5_Tue_ontopic,W5_Tue_revisit,W5_Tue_metacog,W5_Tue_orient,W5_Tue_prj,W5_Wed_ontopic,W5_Wed_revisit,W5_Wed_metacog,W5_Wed_orient,W5_Wed_prj,W5_Thu_ontopic,W5_Thu_revisit,W5_Thu_metacog,W5_Thu_orient,W5_Thu_prj,W5_Fri_ontopic,W5_Fri_revisit,W5_Fri_metacog,W5_Fri_orient,W5_Fri_prj,W5_Sat_ontopic,W5_Sat_revisit,W5_Sat_metacog,W5_Sat_orient,W5_Sat_prj,W7_Sun_ontopic,W7_Sun_revisit,W7_Sun_metacog,W7_Sun_orient,W7_Sun_prj,W7_Mon_ontopic,W7_Mon_revisit,W7_Mon_metacog,W7_Mon_orient,W7_Mon_prj,W7_Tue_ontopic,W7_Tue_revisit,W7_Tue_metacog,W7_Tue_orient,W7_Tue_prj,W7_Wed_ontopic,W7_Wed_revisit,W7_Wed_metacog,W7_Wed_orient,W7_Wed_prj,W7_Thu_ontopic,W7_Thu_revisit,W7_Thu_metacog,W7_Thu_orient,W7_Thu_prj,W7_Fri_ontopic,W7_Fri_revisit,W7_Fri_metacog,W7_Fri_orient,W7_Fri_prj,W7_Sat_ontopic,W7_Sat_revisit,W7_Sat_metacog,W7_Sat_orient,W7_Sat_prj,W8_Sun_ontopic,W8_Sun_revisit,W8_Sun_metacog,W8_Sun_orient,W8_Sun_prj,W8_Mon_ontopic,W8_Mon_revisit,W8_Mon_metacog,W8_Mon_orient,W8_Mon_prj,W8_Tue_ontopic,W8_Tue_revisit,W8_Tue_metacog,W8_Tue_orient,W8_Tue_prj,W8_Wed_ontopic,W8_Wed_revisit,W8_Wed_metacog,W8_Wed_orient,W8_Wed_prj,W8_Thu_ontopic,W8_Thu_revisit,W8_Thu_metacog,W8_Thu_orient,W8_Thu_prj,W8_Fri_ontopic,W8_Fri_revisit,W8_Fri_metacog,W8_Fri_orient,W8_Fri_prj,W8_Sat_ontopic,W8_Sat_revisit,W8_Sat_metacog,W8_Sat_orient,W8_Sat_prj,W9_Sun_ontopic,W9_Sun_revisit,W9_Sun_metacog,W9_Sun_orient,W9_Sun_prj,W9_Mon_ontopic,W9_Mon_revisit,W9_Mon_metacog,W9_Mon_orient,W9_Mon_prj,W9_Tue_ontopic,W9_Tue_revisit,W9_Tue_metacog,W9_Tue_orient,W9_Tue_prj,W9_Wed_ontopic,W9_Wed_revisit,W9_Wed_metacog,W9_Wed_orient,W9_Wed_prj,W9_Thu_ontopic,W9_Thu_revisit,W9_Thu_metacog,W9_Thu_orient,W9_Thu_prj,W9_Fri_ontopic,W9_Fri_revisit,W9_Fri_metacog,W9_Fri_orient,W9_Fri_prj,W9_Sat_ontopic,W9_Sat_revisit,W9_Sat_metacog,W9_Sat_orient,W9_Sat_prj,W10_Sun_ontopic,W10_Sun_revisit,W10_Sun_metacog,W10_Sun_orient,W10_Sun_prj,W10_Mon_ontopic,W10_Mon_revisit,W10_Mon_metacog,W10_Mon_orient,W10_Mon_prj,W10_Tue_ontopic,W10_Tue_revisit,W10_Tue_metacog,W10_Tue_orient,W10_Tue_prj,W10_Wed_ontopic,W10_Wed_revisit,W10_Wed_metacog,W10_Wed_orient,W10_Wed_prj,W10_Thu_ontopic,W10_Thu_revisit,W10_Thu_metacog,W10_Thu_orient,W10_Thu_prj,W10_Fri_ontopic,W10_Fri_revisit,W10_Fri_metacog,W10_Fri_orient,W10_Fri_prj,W10_Sat_ontopic,W10_Sat_revisit,W10_Sat_metacog,W10_Sat_orient,W10_Sat_prj,W11_Sun_ontopic,W11_Sun_revisit,W11_Sun_metacog,W11_Sun_orient,W11_Sun_prj,W11_Mon_ontopic,W11_Mon_revisit,W11_Mon_metacog,W11_Mon_orient,W11_Mon_prj,W11_Tue_ontopic,W11_Tue_revisit,W11_Tue_metacog,W11_Tue_orient,W11_Tue_prj,W11_Wed_ontopic,W11_Wed_revisit,W11_Wed_metacog,W11_Wed_orient,W11_Wed_prj,W11_Thu_ontopic,W11_Thu_revisit,W11_Thu_metacog,W11_Thu_orient,W11_Thu_prj,W11_Fri_ontopic,W11_Fri_revisit,W11_Fri_metacog,W11_Fri_orient,W11_Fri_prj,W11_Sat_ontopic,W11_Sat_revisit,W11_Sat_metacog,W11_Sat_orient,W11_Sat_prj,W12_Sun_ontopic,W12_Sun_revisit,W12_Sun_metacog,W12_Sun_orient,W12_Sun_prj,W12_Mon_ontopic,W12_Mon_revisit,W12_Mon_metacog,W12_Mon_orient,W12_Mon_prj,W12_Tue_ontopic,W12_Tue_revisit,W12_Tue_metacog,W12_Tue_orient,W12_Tue_prj,W12_Wed_ontopic,W12_Wed_revisit,W12_Wed_metacog,W12_Wed_orient,W12_Wed_prj,W12_Thu_ontopic,W12_Thu_revisit,W12_Thu_metacog,W12_Thu_orient,W12_Thu_prj,W12_Fri_ontopic,W12_Fri_revisit,W12_Fri_metacog,W12_Fri_orient,W12_Fri_prj,W12_Sat_ontopic,W12_Sat_revisit,W12_Sat_metacog,W12_Sat_orient,W12_Sat_prj
679,40,0,5,4,0,17,2,24,16,0,14,1,4,9,0,78,0,2,2,0,47,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,6,4,0,0,0,3,4,0,0,0,0,0,0,108,19,3,2,0,0,0,1,1,0,0,0,0,0,0,34,30,10,8,0,3,0,3,4,0,0,0,1,1,0,0,0,0,0,0,192,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,4,0,5,0,46,13,3,7,0,0,0,0,0,0,0,0,0,0,0,57,123,10,9,0,0,7,7,11,0,0,5,6,7,0,0,0,0,0,0,19,0,3,7,0,0,0,20,20,11,0,0,0,0,0,112,0,8,8,1,0,0,0,0,0,0,0,0,0,0,42,0,1,4,0,24,0,1,2,0,0,0,6,7,7,0,0,0,0,0,11,0,1,2,0,29,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0,0,0,9,10,4,0,0,2,2,1,187,0,3,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,2,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,26,12,10,12,0,0,0,7,18,4,0,8,2,6,0,27,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,5,5,15,8,17,2,0,70,2,6,0,0,0,0,0,0,23,0,1,2,0,0,0,2,5,5
680,1,0,5,3,0,34,0,11,10,0,31,0,12,9,0,0,0,0,0,0,76,0,13,6,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,17,2,8,5,0,0,1,3,1,0,0,0,0,0,0,17,7,8,5,0,87,2,11,11,0,1,0,5,2,0,0,0,12,13,0,12,10,7,11,0,0,5,4,2,0,0,0,0,0,0,44,0,5,7,0,52,0,11,10,0,0,0,0,0,0,110,199,33,34,0,0,14,12,10,0,0,2,2,2,0,0,0,0,0,0,84,0,13,12,0,0,0,0,0,0,26,81,28,19,0,51,0,24,15,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,53,29,17,19,1,67,28,35,33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,9,0,2,10,7,6,0,0,0,0,0,0,11,0,0,0,0,58,5,11,13,0,0,0,0,0,0,0,0,1,2,10,4,5,21,23,6,0,0,0,0,0,0,0,0,0,0,37,0,14,10,8,30,2,13,18,0,3,2,3,4,4,0,0,0,0,0,1,14,21,20,8,0,0,0,0,0,0,0,0,0,0,53,0,10,23,0,7,0,4,3,0,0,0,0,0,0,0,0,0,1,3,14,4,22,23,1,0,0,0,0,0,0,0,0,1,2,68,0,9,8,1,3,0,9,10,7,0,0,0,1,4
681,0,0,0,0,0,8,0,5,4,0,15,11,23,16,0,0,0,2,2,0,0,0,0,0,0,35,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,14,14,0,0,20,11,11,0,2,21,1,1,0,33,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,13,6,0,0,0,0,0,0,42,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,0,0,0,0,0,0,31,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1,11,8,9,0,6,2,3,1,0,0,0,0,0,0,0,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,12,0,0,0,13,0,2,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,0,0,30,12,13,1,0,0,0,0,0,17,0,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,3,9,10,2,1,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,0,0,0,0,0,0,0,11,0,4,3,1,62,0,5,5,0,0,0,0,0,0,0,0,0,0,0
682,0,0,0,0,0,19,0,7,4,0,21,4,33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,30,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,72,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,19,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,0,53,17,28,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,4,4,0,0,2,1,2,0,31,0,5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,4,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,0,0,0,0,0,0,0,0,0,0,26,0,4,2,0,35,4,21,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683,0,0,0,0,0,45,0,29,21,0,0,0,0,0,0,0,0,0,0,0,135,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,7,8,0,0,0,0,0,0,0,0,0,0,0,41,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,7,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,4,4,0,0,0,0,0,0,0,0,0,0,0,13,0,11,4,0,0,0,1,6,5,0,0,0,3,3,0,0,0,0,0,85,0,1,3,0,0,6,3,3,0,0,0,0,0,0,28,1,3,7,1,0,0,3,4,7,0,10,4,3,0,0,20,6,7,0,83,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,20,0,7,5,5,0,0,0,0,0,0,0,0,0,0,0,7,5,4,0,68,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,7,4,8,0,0,0,0,0,0,0,0,0,0,37,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,0,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,15,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,12,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4,8,7,9,0,7,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,15,0,0,0,0,0,0,0,0,0,0
689,0,0,0,0,0,51,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,1,0,43,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,27,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,5,0,0,0,0,0,0,0,0,0,0,0,16,0,3,3,0,17,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,2,3,15,0,0,0,0,0
691,89,0,5,3,0,14,0,1,3,0,0,0,5,10,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,12,0,1,2,0,0,0,4,4,0,0,0,4,4,0,0,0,0,0,0,102,25,7,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,2,3,0,0,0,0,0,0,17,0,1,2,0,95,0,4,8,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,58,0,2,3,0,2,0,3,2,0,4,0,3,2,0,24,0,3,5,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,55,0,1,2,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2,0,0,0,0,0,0,0,0,6,6,4,0,0,1,2,0,87,53,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,41,0,1,2,0,0,0,0,0,0,0,0,0,0,0,30,0,1,2,0,0,0,0,0,0,0,0,8,20,8,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,17,0,1,4,0,0,0,14,22,0,0,0,0,0,0,34,0,1,2,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,1,3,0,0,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,0,4,0,1,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,50,48,17,9,0,4,1,4,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,129,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,9,7,0,0,0,0,0,0,0,19,2,2,0,48,0,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,0,81,4,17,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,35,0,3,3,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,0,79,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,38,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,27,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,31,4,10,12,0,0,0,3,2,1,0,0,0,0,0
694,0,0,0,0,0,0,0,0,0,0,0,11,27,17,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144,28,20,0,0,0,11,13,0,133,35,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,0,26,5,5,0,0,1,6,8,0,118,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,0,0,11,18,17,0,84,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,4,34,0,2,3,0,0,9,3,3,6,0,4,16,16,19,98,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,8,7,0,0,0,10,16,13,134,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32,6,6,0,81,1,12,14,6,48,30,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,4,11,0,0,0,25,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,18,10,0,0,0,12,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,9,0,0,0,0,0,14,0,5,5,0,0,0,5,8,33,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0
