user_id,cl3,cl4
679,1,1
680,1,1
681,2,2
682,2,2
683,2,2
688,3,3
689,3,3
691,2,4
693,2,4
694,2,4
695,2,2
699,2,2
700,2,4
701,1,1
702,2,4
703,3,3
705,2,4
706,2,2
707,2,4
708,2,4
709,2,2
710,1,1
712,3,3
713,1,1
714,2,2
717,2,2
718,2,2
720,1,1
721,1,1
722,2,4
723,2,4
724,2,4
727,1,1
728,2,2
729,2,2
730,2,2
731,2,2
732,1,1
733,2,2
734,2,4
735,2,2
736,1,1
737,3,3
738,1,1
739,3,3
740,3,3
741,2,2
743,2,2
744,2,2
745,2,4
746,2,2
747,2,2
748,2,2
749,3,3
750,3,3
751,2,2
753,2,2
754,2,2
755,1,1
756,3,3
757,2,2
758,2,2
759,2,2
760,2,2
761,2,2
762,2,2
763,3,3
764,2,2
765,2,2
767,1,1
768,2,4
769,3,3
770,2,4
771,1,1
772,2,2
773,2,2
774,3,3
775,2,2
777,2,2
778,2,2
779,2,2
780,2,2
781,2,2
782,3,3
784,2,2
786,2,2
787,1,1
788,2,4
789,2,2
790,2,4
791,2,4
792,2,4
793,2,4
794,1,1
795,1,1
797,3,3
798,2,2
799,2,2
800,2,4
801,2,4
803,2,2
804,2,2
806,2,4
807,2,2
808,1,1
810,1,1
811,2,4
813,2,2
814,2,4
816,1,1
818,1,1
820,2,2
821,1,1
822,2,2
823,1,1
825,2,4
826,1,1
827,2,4
828,2,4
830,2,2
832,2,2
833,2,2
834,2,2
835,2,2
837,1,1
839,1,1
840,2,2
841,2,4
843,1,1
844,1,1
845,2,2
847,2,4
848,1,1
849,1,1
850,2,2
851,1,1
852,1,1
853,1,1
854,1,1
855,2,2
856,2,2
857,1,1
858,2,4
859,2,4
860,2,2
861,3,3
862,3,3
863,2,2
864,1,1
865,1,1
866,2,2
867,1,1
868,1,1
869,2,4
870,2,2
871,2,4
872,1,1
873,2,4
874,2,4
875,1,1
876,3,3
877,1,1
878,3,3
879,1,1
880,1,1
881,2,2
882,1,1
884,1,1
885,1,1
886,1,1
887,2,2
888,1,1
889,1,1
890,3,3
891,2,2
892,1,1
893,2,4
894,2,2
895,2,4
896,1,1
897,2,2
898,3,3
899,2,2
900,2,4
901,3,3
902,2,4
905,2,4
907,1,1
908,2,2
909,2,4
910,3,3
911,2,2
912,1,1
913,2,2
914,1,1
916,2,2
917,2,4
918,2,4
919,1,1
920,1,1
921,2,2
922,3,3
923,1,1
924,1,1
925,2,4
926,1,1
927,2,2
928,2,4
929,1,1
930,2,4
932,2,2
933,1,1
934,2,2
935,1,1
936,2,4
937,2,2
938,3,3
940,1,1
941,1,1
942,2,2
943,2,4
944,1,1
945,1,1
946,2,4
947,1,1
948,1,1
949,1,1
950,1,1
951,1,1
953,2,2
954,1,1
955,1,1
956,2,2
957,2,2
958,2,4
959,2,2
960,2,2
961,2,4
962,1,1
963,1,1
964,3,3
965,1,1
966,1,1
967,2,4
968,2,2
969,3,3
970,2,2
971,1,1
972,1,1
973,2,2
974,1,1
975,2,2
976,3,3
977,2,4
978,3,3
979,2,4
980,2,2
983,1,1
984,3,3
985,1,1
987,2,2
988,3,3
989,3,3
990,1,1
991,2,4
992,1,1
993,1,1
994,3,3
996,1,1
997,1,1
998,2,4
999,1,1
1000,2,2
1001,2,4
1002,1,1
1003,2,2
1004,2,2
1005,1,1
1006,1,1
1007,3,3
1008,1,1
1009,1,1
1010,3,3
1011,1,1
1012,2,4
1013,1,1
1014,1,1
1015,2,2
1017,2,2
1018,2,4
1019,1,1
1020,2,4
1021,2,2
1022,2,2
1023,2,4
1024,3,3
1026,1,1
1027,2,2
1028,1,1
1029,1,1
1030,1,1
1032,2,2
1033,2,2
1034,2,2
1035,2,2
1036,1,1
1037,3,3
1038,1,1
1039,2,2
1040,2,2
1041,2,2
1042,1,1
1044,2,4
1045,1,1
1046,1,1
1047,3,3
1048,3,3
1050,1,1
1051,2,2
1052,2,2
1053,1,1
1054,2,2
1055,1,1
1056,2,2
1057,3,3
1058,2,2
1059,2,2
1060,2,2
1061,2,4
1062,3,3
1063,2,4
1064,1,1
1065,2,2
1066,2,4
1067,3,3
1068,3,3
1069,1,1
1070,1,1
1071,2,2
1072,2,4
1073,2,2
1074,2,2
1075,2,4
1076,2,2
1077,1,1
1079,3,3
1080,2,4
1081,2,2
1082,1,1
1083,2,4
1084,2,4
1085,2,2
1086,2,2
1087,1,1
1088,2,4
1089,2,2
1090,3,3
1091,1,1
1092,2,2
1093,2,4
1094,3,3
1095,2,2
1096,1,1
1097,2,2
1098,2,4
1099,2,4
1100,2,2
1101,3,3
1102,1,1
1103,2,2
1104,1,1
1105,2,2
1106,1,1
1107,2,2
1108,1,1
1109,1,1
1111,3,3
1112,2,2
1113,1,1
1114,1,1
1115,2,4
1116,2,4
1117,2,4
1118,2,4
1119,1,1
1120,2,2
1121,1,1
1122,2,4
1123,1,1
1124,2,2
1125,1,1
1126,1,1
1128,1,1
1129,1,1
1131,2,4
1132,1,1
1133,2,4
1134,2,4
1135,1,1
1310,1,1
1311,2,4
1312,2,4
1313,2,4
1314,2,2
1315,1,1
1317,2,4
1326,1,1
1327,2,2
1330,1,1
1331,3,3
1332,2,2
1333,1,1
1334,2,2
1336,2,2
1337,2,4
1338,1,1
1339,1,1
1340,2,4
1341,1,1
1342,2,4
1343,1,1
1344,2,2
1345,1,1
1346,1,1
1347,1,1
1354,3,3
1355,1,1
1357,1,1
1358,1,1
1359,2,2
1360,1,1
1361,1,1
1362,2,4
1363,3,3
1364,1,1
1365,1,1
1366,2,2
1367,3,3
1368,1,1
1369,1,1
1370,2,4
1375,1,1
1376,2,2
1377,1,1
1378,1,1
1379,1,1
1380,1,1
1381,1,1
1382,1,1
1385,1,1
1386,2,2
1390,2,4
1392,1,1
1393,1,1
1394,3,3
1395,3,3
1397,1,1
1398,2,2
1400,1,1
1401,2,2
1402,2,4
1403,3,3
1404,1,1
1405,2,2
1406,3,3
1408,2,2
1409,2,2
1410,2,2
1411,2,2
1418,1,1
1420,2,2
1422,2,2
1423,2,4
1430,1,1
1445,2,2
1446,2,4
1447,2,2
