user_id,MCQ_ind,EXE_ind,VIDEO_ind,RES_ind,METACOG_ind
679,9,8,10,9,2
680,11,3,4,11,3
681,4,5,5,2,7
682,1,8,2,2,3
683,7,6,3,5,7
688,1,5,1,1,1
689,0,0,0,1,2
691,6,5,4,2,3
693,3,4,5,2,4
694,7,6,7,10,6
695,5,9,6,2,5
699,0,5,1,0,2
700,6,4,7,3,6
701,8,2,6,12,11
702,7,8,7,6,4
703,0,1,1,2,1
705,6,3,4,2,7
706,7,6,8,7,6
707,6,2,6,7,3
708,5,8,9,8,4
709,1,5,0,3,1
710,9,6,11,9,4
712,1,8,2,2,1
713,8,8,6,7,5
714,0,8,6,5,4
717,3,9,4,3,0
718,2,10,2,7,2
720,4,11,4,6,6
721,8,1,10,8,9
722,4,5,10,10,1
723,2,4,2,8,6
724,4,7,5,10,5
727,2,4,9,9,2
728,10,2,10,7,9
729,2,8,3,8,1
730,2,8,0,1,4
731,8,2,6,5,4
732,1,4,2,3,5
733,6,4,6,4,2
734,5,8,5,4,2
735,2,6,2,2,6
736,11,6,10,12,2
737,0,0,0,2,2
738,10,6,8,7,10
739,1,9,1,1,1
740,1,2,0,1,0
741,9,5,4,8,10
743,5,6,4,6,7
744,3,8,1,7,2
745,6,2,8,4,4
746,1,5,6,1,0
747,4,3,3,1,4
748,3,7,6,12,6
749,1,3,1,10,1
750,1,5,4,1,2
751,8,7,5,1,2
753,6,8,7,9,5
754,2,12,1,4,5
755,2,8,7,7,4
756,1,1,2,0,2
757,3,9,7,3,2
758,0,6,0,1,1
759,5,2,6,3,3
760,1,12,1,4,2
761,3,7,2,6,4
762,2,9,4,3,2
763,1,6,1,2,3
764,0,4,2,6,3
765,2,3,0,1,1
767,9,3,8,9,1
768,4,9,8,0,3
769,1,9,1,3,3
770,6,5,9,10,2
771,8,7,8,5,6
772,1,5,1,4,1
773,3,3,3,1,2
774,0,1,0,0,0
775,6,8,7,4,3
777,7,6,7,2,0
778,2,8,5,8,7
779,1,12,2,6,6
780,1,8,1,6,3
781,5,4,2,3,2
782,1,5,1,1,2
784,1,4,5,5,1
786,3,9,6,2,0
787,7,4,6,6,6
788,3,6,3,3,0
789,6,3,2,6,1
790,5,5,6,8,7
791,6,7,6,7,5
792,3,9,4,5,3
793,4,3,7,3,4
794,4,8,5,7,3
795,12,9,10,12,12
797,1,5,1,0,1
798,1,7,3,7,3
799,2,4,2,1,1
800,2,9,3,9,0
801,4,6,6,3,6
803,6,4,6,4,8
804,1,2,3,3,1
806,4,6,2,8,3
807,0,9,1,3,2
808,7,11,9,12,2
810,5,9,9,5,3
811,8,5,6,3,3
813,0,6,0,0,3
814,0,8,3,6,2
816,10,5,7,6,8
818,6,2,9,7,2
820,2,6,1,5,0
821,6,5,10,3,6
822,4,8,2,7,1
823,1,9,2,7,0
825,6,8,6,5,6
826,4,10,1,7,4
827,4,10,2,7,1
828,5,9,6,9,4
830,2,7,1,4,4
832,3,9,4,8,4
833,5,7,4,1,6
