user_id,ontopic_ind,revisit_ind,metacog_ind,orient_ind,prj_ind
679,9,4,5,6,3
680,9,5,10,9,4
681,3,4,4,4,2
682,3,5,3,3,2
683,8,2,3,3,4
688,1,0,0,0,2
689,0,1,1,1,2
691,8,1,1,2,3
693,3,5,2,1,2
694,6,6,10,9,6
695,5,5,2,3,2
699,0,0,1,0,1
700,5,6,3,5,3
701,7,3,10,10,6
702,5,6,2,5,2
703,1,0,1,1,1
705,3,5,0,2,0
706,5,1,5,5,4
707,0,5,6,6,4
708,9,3,4,6,2
709,1,1,4,3,3
710,4,10,8,7,4
712,6,5,2,3,1
713,5,5,7,5,5
714,2,7,3,3,1
717,5,7,2,2,2
718,3,3,6,6,4
720,5,7,8,5,3
721,9,1,5,3,3
722,6,6,8,9,4
723,2,8,7,5,2
724,6,6,7,8,4
727,5,7,4,5,5
728,10,0,2,4,2
729,3,7,6,5,2
730,1,4,2,1,0
731,3,8,5,5,2
732,2,0,2,2,4
733,4,3,3,5,2
734,3,4,3,2,1
735,5,1,1,0,1
736,10,9,9,10,4
737,0,1,1,1,1
738,10,2,5,2,3
739,3,2,1,2,0
740,0,0,1,2,0
741,7,4,6,5,3
743,4,5,5,6,3
744,4,2,5,7,3
745,2,6,3,4,2
746,6,0,0,1,0
747,2,4,0,1,0
748,5,7,9,10,2
749,1,7,9,10,5
750,2,4,0,0,1
751,5,6,1,0,2
753,4,7,7,8,5
754,2,6,3,1,1
755,8,6,5,5,1
756,0,4,1,0,0
757,3,8,2,3,2
758,1,6,1,1,1
759,3,3,0,2,1
760,0,4,2,3,1
761,3,7,6,6,2
762,2,7,3,2,3
763,2,1,3,2,0
764,2,3,7,9,3
765,3,0,2,4,0
767,8,2,6,8,2
768,8,4,1,0,1
769,1,5,3,2,1
770,2,8,7,8,5
771,8,2,2,1,3
772,2,3,3,3,3
773,2,4,0,0,1
774,0,1,0,0,0
775,4,6,2,2,3
777,4,7,2,0,1
778,5,1,4,6,3
779,5,7,8,4,4
780,2,4,6,5,4
781,1,4,1,1,3
782,2,2,1,1,1
784,2,5,5,3,2
786,7,4,2,2,1
787,7,1,6,6,4
788,4,4,4,5,4
789,3,5,5,4,2
790,5,6,7,8,3
791,6,5,4,5,3
792,9,2,2,3,2
793,4,4,4,4,2
794,6,7,6,5,4
795,10,5,10,10,5
797,3,2,0,0,0
798,2,3,5,5,4
799,3,4,1,2,2
800,2,6,9,9,6
801,6,7,2,3,4
803,4,6,0,4,2
804,1,3,2,3,4
806,5,6,7,7,4
807,7,0,2,1,3
808,6,10,10,10,5
810,6,6,7,4,3
811,4,9,3,3,2
813,2,1,1,0,2
814,7,1,2,3,2
816,9,3,6,6,1
818,9,0,6,7,3
820,0,3,5,2,6
821,10,1,3,4,4
822,2,6,6,6,3
823,5,5,8,7,6
825,2,8,5,5,2
826,6,0,5,6,6
827,5,9,8,8,6
828,5,8,7,7,1
830,2,8,4,7,1
832,3,6,8,8,4
833,5,7,1,2,4
834,0,8,4,4,3
835,3,6,4,4,4
837,8,8,10,10,5
839,4,0,5,4,2
840,7,6,9,9,2
841,7,7,7,5,2
843,6,6,3,4,1
844,4,5,2,3,4
845,5,3,4,4,3
847,4,4,8,6,3
848,7,2,5,6,2
849,8,2,6,6,1
850,7,0,5,5,3
851,1,6,3,3,0
852,4,1,9,8,5
853,4,4,7,7,2
854,9,6,9,8,4
855,2,3,4,4,2
856,6,4,8,7,1
857,9,1,8,6,2
858,10,8,8,8,3
859,10,4,10,10,5
860,7,4,7,7,1
861,2,2,4,5,2
862,2,5,3,3,4
863,1,3,4,3,2
864,5,5,5,5,1
865,8,10,8,8,5
866,2,5,4,4,3
867,10,10,10,9,3
868,6,5,6,5,3
869,5,7,9,9,5
870,8,7,4,4,1
871,8,7,9,10,4
872,5,2,4,6,3
873,8,6,10,10,5
874,3,8,8,8,5
875,6,2,5,7,2
876,0,4,1,1,0
877,8,8,10,9,4
878,0,0,0,0,0
879,9,9,10,10,3
880,6,7,5,5,3
881,1,7,3,2,1
882,7,7,8,9,3
884,10,7,10,10,6
885,10,3,7,6,2
886,10,9,10,10,6
887,7,6,5,2,1
888,6,3,9,9,4
889,6,3,10,10,6
890,2,2,2,1,2
891,4,8,3,2,3
892,4,2,9,10,3
893,2,9,6,4,2
894,2,6,5,4,2
895,9,5,5,3,4
896,9,4,9,9,5
897,8,2,6,5,2
898,3,4,2,2,1
899,1,3,3,5,2
900,3,5,8,8,1
901,3,0,0,0,0
