user_id,tot_ontopic_cnt,median_ontopic_cnt,mad_ontopic_cnt,ontopic_days,ontopic_prop,tot_revisit_cnt,median_revisit_cnt,mad_revisit_cnt,revisit_days,revisit_prop,tot_metacog_cnt,median_metacog_cnt,mad_metacog_cnt,metacog_days,metacog_prop,tot_orient_cnt,median_orient_cnt,mad_orient_cnt,orinet_days,orient_prop,tot_prj_cnt,median_prj_cnt,mad_prj_cnt,prj_days,prj_prop
679,1309,11,16.3086,26,0.6046511627906976,320,0,0,16,0.37209302325581395,194,3,2.9652,40,0.9302325581395349,270,6,4.4478,43,1,40,0,0,9,0.20930232558139536
680,1054,11,16.3086,30,0.6976744186046512,435,0,0,20,0.46511627906976744,459,10,7.412999999999999,39,0.9069767441860465,433,9,7.412999999999999,42,0.9767441860465116,71,0,0,14,0.32558139534883723
681,441,1,1.4826,16,0.5333333333333333,153,0,0,11,0.36666666666666664,168,4.5,3.7064999999999997,27,0.9,155,3.5,3.7064999999999997,28,0.9333333333333333,34,0,0,9,0.3
682,437,21,31.1346,12,0.631578947368421,197,2,2.9652,12,0.631578947368421,165,5,5.9304,19,1,129,3,2.9652,19,1,32,0,0,5,0.2631578947368421
683,807,20,29.651999999999997,14,0.56,54,0,0,8,0.32,145,3,2.9652,24,0.96,144,4,1.4826,25,1,50,0,0,9,0.36
688,130,2,2.9652,7,0.6363636363636364,28,0,0,4,0.36363636363636365,73,7,4.4478,11,1,93,8,1.4826,11,1,37,0,0,4,0.36363636363636365
689,173,0,0,6,0.35294117647058826,17,0,0,2,0.11764705882352941,68,3,1.4826,17,1,94,3,2.9652,17,1,31,0,0,4,0.23529411764705882
691,812,4,5.9304,20,0.5405405405405406,78,0,0,2,0.05405405405405406,99,2,1.4826,35,0.9459459459459459,157,2,1.4826,36,0.972972972972973,35,0,0,8,0.21621621621621623
693,575,2,2.9652,13,0.5,212,1,1.4826,14,0.5384615384615384,118,3,2.2239,25,0.9615384615384616,107,2,1.4826,25,0.9615384615384616,28,0,0,5,0.19230769230769232
694,733,0,0,11,0.3548387096774194,418,0,0,14,0.45161290322580644,300,8,5.9304,30,0.967741935483871,317,8,7.412999999999999,31,1,107,0,0,10,0.3225806451612903
695,937,0,0,14,0.4117647058823529,214,0,0,10,0.29411764705882354,124,2.5,2.2239,33,0.9705882352941176,141,3,1.4826,33,0.9705882352941176,69,0,0,12,0.35294117647058826
