user_id,W2_Sun,W2_Mon,W2_Tue,W2_Wed,W2_Thu,W2_Fri,W2_Sat,W3_Sun,W3_Mon,W3_Tue,W3_Wed,W3_Thu,W3_Fri,W3_Sat,W4_Sun,W4_Mon,W4_Tue,W4_Wed,W4_Thu,W4_Fri,W4_Sat,W5_Sun,W5_Mon,W5_Tue,W5_Wed,W5_Thu,W5_Fri,W5_Sat,W7_Sun,W7_Mon,W7_Tue,W7_Wed,W7_Thu,W7_Fri,W7_Sat,W8_Sun,W8_Mon,W8_Tue,W8_Wed,W8_Thu,W8_Fri,W8_Sat,W9_Sun,W9_Mon,W9_Tue,W9_Wed,W9_Thu,W9_Fri,W9_Sat,W10_Sun,W10_Mon,W10_Tue,W10_Wed,W10_Thu,W10_Fri,W10_Sat,W11_Sun,W11_Mon,W11_Tue,W11_Wed,W11_Thu,W11_Fri,W11_Sat,W12_Sun,W12_Mon,W12_Tue,W12_Wed,W12_Thu,W12_Fri,W12_Sat,W2_cnt,W3_cnt,W4_cnt,W5_cnt,W7_cnt,W8_cnt,W9_cnt,W10_cnt,W11_cnt,W12_cnt,tot_cnt,weekly_cnt_sd,weekly_entropy
679,4,2,6,1,5,0,0,0,2,2,0,1,1,0,3,1,1,0,3,1,0,2,5,0,0,10,2,1,0,2,5,0,3,0,0,1,2,2,0,2,1,0,0,2,1,1,7,0,1,0,0,0,0,2,0,1,0,4,4,4,3,0,0,0,3,3,4,0,1,1,5,4,5,5,3,5,5,2,4,5,43,1.0593499054713802,-0.10011291476981249
680,2,5,2,0,5,2,0,0,4,1,0,2,1,2,2,5,1,0,2,1,0,4,3,1,0,4,0,6,4,2,0,0,1,0,0,4,9,0,0,0,0,0,0,2,2,0,1,5,0,2,6,0,0,6,3,3,0,3,0,0,3,1,0,1,5,0,1,5,2,1,5,5,5,5,3,2,4,5,3,6,43,1.2516655570345725,-0.1019792058570533
681,0,2,5,1,0,1,0,0,0,2,4,1,2,0,0,0,1,0,0,1,0,0,0,0,5,0,1,0,0,0,2,1,0,1,0,0,0,1,1,1,1,0,0,0,1,3,0,2,0,0,1,0,3,2,0,0,0,0,0,1,1,0,0,1,0,0,1,4,0,0,4,4,2,2,3,4,3,3,2,3,30,0.816496580927726,-0.10109703333084659
682,0,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,2,2,1,1,2,3,1,3,2,2,19,0.7378647873726218,-0.107070279678091
683,0,6,0,0,1,0,0,0,2,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0,0,2,0,0,2,0,0,0,2,0,0,2,2,2,1,5,5,1,3,2,2,25,1.4337208778404378,-0.12045013846113607
688,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,2,0,1,1,1,1,1,1,2,11,0.5676462121975467,-0.11611781614364301
689,0,3,0,0,0,0,1,1,1,0,0,1,1,0,0,4,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,1,1,0,2,4,1,3,2,0,0,1,2,2,17,1.2516655570345725,-0.1374655924543438
691,5,2,2,1,0,0,1,1,1,2,0,5,0,3,0,0,0,0,2,0,1,4,0,2,1,2,1,1,1,0,1,0,1,0,0,1,0,1,1,6,0,0,0,0,1,0,1,0,0,1,0,4,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,5,5,2,6,3,4,2,4,4,2,37,1.4181364924121764,-0.10677857158730093
693,0,0,0,2,3,1,0,0,1,0,0,8,1,0,1,0,0,1,3,0,0,0,4,0,1,4,0,0,0,0,0,1,5,0,0,0,0,0,1,2,1,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,2,3,1,0,3,3,3,3,2,3,2,2,2,3,26,0.5163977794943222,-0.09840196279229349
694,0,0,6,2,0,0,0,0,0,4,3,1,0,0,0,1,2,2,3,0,0,0,0,3,4,5,0,0,1,2,2,3,1,0,0,0,0,2,4,2,0,0,0,0,2,4,0,0,0,1,0,3,2,0,0,0,0,0,4,1,0,0,0,1,0,2,3,1,0,0,2,3,4,3,5,3,2,3,2,4,31,0.9944289260117533,-0.10329508094674657
