stud.id,session.id,cluster
4,7,1
4,8,2
4,9,2
4,10,2
4,11,3
4,12,4
4,14,3
4,15,4
4,16,2
4,17,3
4,18,3
4,19,4
4,20,2
4,21,2
4,22,1
4,23,3
4,24,3
4,25,3
4,26,2
4,27,1
4,29,1
4,30,1
4,31,3
4,32,1
4,33,2
4,34,3
4,35,3
4,36,1
4,38,3
4,39,3
4,41,1
4,42,3
4,43,4
4,44,1
4,45,1
4,46,1
4,47,2
4,48,1
4,49,3
4,50,3
4,51,2
4,53,3
4,54,3
4,56,3
4,57,4
4,58,3
4,59,3
4,61,3
4,62,3
4,63,3
4,66,4
4,67,3
4,68,2
4,69,3
4,71,2
4,72,3
4,73,2
4,74,3
4,75,3
4,76,2
4,78,3
4,79,3
4,80,2
4,81,3
4,82,4
4,83,2
4,85,3
4,87,2
4,88,2
4,89,4
4,90,3
4,91,2
4,92,3
4,93,3
5,113,4
5,114,3
5,115,3
5,116,3
5,117,3
5,118,3
5,119,4
5,120,3
5,121,2
5,122,2
5,123,4
5,124,4
5,126,4
5,128,1
5,129,2
5,130,3
5,131,3
5,133,3
5,134,3
5,135,4
5,136,2
5,138,3
5,139,3
5,140,3
5,141,4
5,142,2
5,143,4
5,144,2
5,146,4
5,147,3
5,148,3
5,149,2
5,150,2
5,151,2
5,152,3
5,154,1
5,155,2
5,156,2
5,157,2
5,158,2
5,159,2
5,160,2
5,161,3
5,162,4
5,163,3
5,164,2
5,166,2
5,167,4
5,168,2
5,169,2
5,170,2
5,171,3
5,172,2
5,173,2
5,175,2
5,176,1
5,177,1
5,178,2
5,179,2
5,180,4
5,181,2
5,182,2
5,183,4
6,187,3
6,188,1
6,189,4
6,190,3
6,191,3
6,193,3
6,194,2
6,195,2
6,196,3
6,197,4
6,198,4
6,199,3
6,201,1
6,202,3
6,203,3
6,204,3
6,207,4
6,208,4
6,209,1
6,210,3
6,211,1
6,212,3
6,213,3
6,215,1
6,216,2
6,218,4
6,219,1
6,220,1
6,221,2
6,222,2
6,225,1
6,229,3
6,230,3
6,231,1
6,232,2
6,233,3
6,235,3
6,236,3
6,237,2
6,238,2
6,239,3
6,240,3
6,241,3
6,242,3
6,243,2
6,244,3
6,245,1
6,246,4
6,248,2
6,249,2
6,250,1
6,251,3
6,252,2
6,253,1
6,254,2
6,255,1
6,256,3
6,257,2
6,260,2
6,263,3
6,264,1
6,265,2
6,266,1
6,267,1
6,269,3
6,270,2
6,273,4
6,274,4
6,276,2
6,277,3
6,278,3
6,279,4
6,281,2
6,282,2
6,283,2
6,284,3
6,285,3
6,287,2
6,288,2
6,290,3
6,291,3
11,401,4
11,402,3
11,403,4
11,404,4
11,405,3
11,407,3
11,410,4
11,411,4
11,412,4
11,414,1
11,415,2
11,416,3
11,418,1
11,420,4
11,421,4
11,422,2
11,427,3
11,428,3
11,429,4
11,430,1
11,431,1
11,433,3
11,435,2
11,437,2
11,439,2
11,440,2
11,441,2
11,442,1
11,443,4
11,444,2
11,446,3
11,447,4
11,448,2
11,450,2
11,452,3
11,453,2
11,454,4
11,455,3
12,462,3
12,463,1
12,464,1
12,465,2
12,466,3
12,467,3
12,468,2
12,469,2
12,470,1
12,471,2
12,472,4
12,473,4
12,474,3
12,475,1
12,476,2
12,477,3
12,478,1
12,479,2
12,480,3
12,481,3
12,482,2
12,484,2
12,487,1
12,488,2
12,489,3
12,490,3
12,491,3
12,493,3
