stud.id,session.id,cluster
4,7,1
4,8,2
4,9,2
4,10,2
4,11,3
4,12,4
4,14,3
4,15,1
4,16,2
4,17,3
4,18,3
4,19,3
4,20,2
4,21,2
4,22,1
4,23,3
4,24,3
4,25,3
4,26,2
4,27,1
4,29,1
4,30,1
4,31,3
4,32,1
4,33,2
4,34,3
4,35,3
4,36,1
4,38,3
4,39,3
4,40,1
4,41,3
4,42,3
4,43,1
4,44,1
4,45,1
4,46,2
4,47,1
4,48,3
4,50,3
4,51,2
4,53,3
4,54,3
4,55,3
4,56,4
4,57,3
4,58,3
4,60,3
4,61,3
4,62,3
4,65,4
4,66,3
4,67,2
4,68,3
4,70,2
4,71,3
4,72,2
4,73,3
4,74,3
4,75,2
4,77,3
4,78,3
4,79,2
4,80,3
4,81,4
4,82,2
4,84,3
4,86,2
4,87,2
4,88,1
4,89,3
4,90,2
4,91,2
4,92,3
5,112,3
5,113,3
5,114,3
5,115,3
5,116,3
5,117,3
5,118,4
5,119,1
5,121,2
5,122,4
5,123,4
5,125,4
5,127,1
5,128,2
5,129,3
5,131,3
5,132,3
5,133,4
5,134,2
5,136,3
5,137,3
5,138,3
5,139,1
5,140,2
5,141,4
5,142,2
5,144,4
5,145,3
5,146,4
5,148,2
5,149,2
5,150,3
5,151,2
5,152,1
5,153,2
5,154,2
5,155,2
5,157,2
5,158,2
5,159,3
5,160,4
5,161,3
5,162,2
5,164,2
5,165,4
5,166,2
5,167,2
5,168,2
5,169,3
5,170,2
5,171,2
5,173,2
5,174,1
5,175,1
5,176,2
5,177,2
5,178,1
5,179,2
5,181,2
5,182,4
6,186,3
6,187,1
6,188,4
6,189,3
6,190,3
6,192,1
6,194,2
6,195,3
6,196,4
6,197,4
6,198,3
6,200,1
6,201,3
6,202,3
6,203,3
6,206,1
6,207,1
6,208,1
6,209,3
6,210,1
6,211,4
6,212,3
6,214,1
6,215,2
6,216,3
6,217,3
6,218,1
6,219,1
6,221,2
6,223,3
6,224,1
6,228,3
6,229,3
6,230,1
6,231,2
6,232,3
6,234,3
6,235,3
6,236,2
6,237,2
6,238,1
6,239,3
6,240,3
6,241,3
6,242,2
6,243,3
6,244,1
6,245,4
6,247,2
6,248,2
6,249,3
6,250,3
6,252,1
6,253,2
6,254,1
6,255,3
6,256,2
6,259,2
6,262,3
6,263,1
6,264,2
6,265,1
6,266,1
6,268,3
6,269,2
6,273,4
6,275,2
6,276,3
6,277,3
6,278,4
6,280,2
6,281,2
6,282,2
6,283,3
6,284,3
6,286,2
6,287,2
6,289,3
6,290,3
10,299,4
10,300,3
10,301,4
10,303,4
10,305,3
10,306,3
10,308,2
10,309,4
10,311,2
10,312,3
10,313,4
10,314,2
10,315,2
10,316,3
10,317,2
10,318,2
10,319,3
10,321,2
10,322,3
10,323,4
10,325,3
10,326,3
10,327,3
10,328,3
10,329,1
10,331,2
10,332,3
10,333,1
10,334,1
10,335,3
10,336,1
10,337,3
10,338,4
10,339,1
10,341,1
10,342,3
10,343,3
10,344,1
10,345,1
10,347,1
10,348,4
10,349,4
10,350,4
10,351,4
10,353,2
10,354,3
10,355,2
10,356,2
10,357,2
10,358,2
10,360,2
10,361,3
10,364,2
10,367,2
10,369,2
10,370,3
10,372,2
10,373,3
10,374,2
10,375,3
11,400,4
11,401,3
11,402,4
11,403,4
11,404,4
11,406,3
11,409,4
11,410,4
11,411,4
11,412,4
11,413,1
