STUDENT_ID,cl5,cl4
4,1,1
5,1,1
6,1,1
10,2,2
11,2,2
12,1,1
13,1,1
16,1,1
17,1,1
18,1,1
20,1,1
21,1,1
24,1,1
29,1,1
30,3,3
32,2,2
33,3,3
34,2,2
36,4,4
38,1,1
40,4,4
41,2,2
42,4,4
43,5,3
45,1,1
46,2,2
47,4,4
49,1,1
50,1,1
51,4,4
52,3,3
53,4,4
57,3,3
58,1,1
60,3,3
61,2,2
62,2,2
63,2,2
64,4,4
65,4,4
66,4,4
67,3,3
68,2,2
70,2,2
72,4,4
74,4,4
76,3,3
77,2,2
78,3,3
79,2,2
80,4,4
81,3,3
83,4,4
85,4,4
86,5,3
87,2,2
89,1,1
90,4,4
92,1,1
94,4,4
95,4,4
96,5,3
97,4,4
99,2,2
100,2,2
102,5,3
104,2,2
105,2,2
106,5,3
107,1,1
108,4,4
109,4,4
111,1,1
114,2,2
117,3,3
118,5,3
119,3,3
121,5,3
122,1,1
123,1,1
125,1,1
127,2,2
128,3,3
130,1,1
132,5,3
133,4,4
134,1,1
135,1,1
136,1,1
137,1,1
139,1,1
141,1,1
142,1,1
144,3,3
146,1,1
147,1,1
148,2,2
149,2,2
150,5,3
151,2,2
152,2,2
154,1,1
155,1,1
157,2,2
158,4,4
160,3,3
162,5,3
164,1,1
165,4,4
166,1,1
167,2,2
169,1,1
170,3,3
174,2,2
176,2,2
177,3,3
178,3,3
180,1,1
181,4,4
182,4,4
183,1,1
184,1,1
185,3,3
186,4,4
187,2,2
188,1,1
189,2,2
190,2,2
191,2,2
192,2,2
193,2,2
194,1,1
195,3,3
196,2,2
197,3,3
198,2,2
199,4,4
200,2,2
201,4,4
202,1,1
204,3,3
205,2,2
206,2,2
207,1,1
208,3,3
209,1,1
210,1,1
211,4,4
213,1,1
215,1,1
216,3,3
217,2,2
218,2,2
219,5,3
220,1,1
222,2,2
223,2,2
224,3,3
226,1,1
227,2,2
229,4,4
230,2,2
232,3,3
234,4,4
235,2,2
236,2,2
237,4,4
239,2,2
240,2,2
241,1,1
242,1,1
243,4,4
244,3,3
245,4,4
247,3,3
248,3,3
249,5,3
252,5,3
254,3,3
256,4,4
257,1,1
258,3,3
259,2,2
260,3,3
261,2,2
262,2,2
263,1,1
266,1,1
267,4,4
269,5,3
272,1,1
274,2,2
275,4,4
281,3,3
282,3,3
283,2,2
285,2,2
287,2,2
288,3,3
289,2,2
290,3,3
291,2,2
292,2,2
295,3,3
296,4,4
298,4,4
299,3,3
300,1,1
301,4,4
302,3,3
303,4,4
304,1,1
305,3,3
306,2,2
308,5,3
310,1,1
311,1,1
312,2,2
313,2,2
314,2,2
316,4,4
317,2,2
319,2,2
320,4,4
322,5,3
323,4,4
324,3,3
325,3,3
327,5,3
328,4,4
329,2,2
331,5,3
332,4,4
333,3,3
334,2,2
337,1,1
338,4,4
339,1,1
340,3,3
342,2,2
343,1,1
344,2,2
345,1,1
346,1,1
347,2,2
350,1,1
351,1,1
352,2,2
358,1,1
360,4,4
362,1,1
366,4,4
370,1,1
371,4,4
372,1,1
373,2,2
374,4,4
375,2,2
378,1,1
379,4,4
380,2,2
381,4,4
382,3,3
383,1,1
384,4,4
386,5,3
387,3,3
388,2,2
390,4,4
391,2,2
392,2,2
394,4,4
396,4,4
398,2,2
399,1,1
401,3,3
403,2,2
406,2,2
407,1,1
409,1,1
410,1,1
