STUDENT_ID,cl5,cl4
4,1,1
5,1,1
10,2,2
11,3,3
12,1,1
13,1,1
16,3,3
17,1,1
20,1,1
21,1,1
24,3,3
30,4,2
32,4,2
33,3,3
34,3,3
36,5,4
38,1,1
40,5,4
41,1,1
43,5,4
45,3,3
46,3,3
47,4,2
49,1,1
50,3,3
51,5,4
52,2,2
53,2,2
57,3,3
58,1,1
60,2,2
61,4,2
62,4,2
63,3,3
64,4,2
65,2,2
66,3,3
68,3,3
70,4,2
74,4,2
76,4,2
77,2,2
78,2,2
79,2,2
80,2,2
81,2,2
83,2,2
85,4,2
86,5,4
87,2,2
89,3,3
90,5,4
94,4,2
95,4,2
96,5,4
97,5,4
99,3,3
100,4,2
102,5,4
104,4,2
105,3,3
106,4,2
107,1,1
108,4,2
109,5,4
111,1,1
114,1,1
117,4,2
118,5,4
119,3,3
122,3,3
123,3,3
125,1,1
127,5,4
128,1,1
130,3,3
132,5,4
133,5,4
134,1,1
136,1,1
137,1,1
138,5,4
139,1,1
141,3,3
142,3,3
144,1,1
147,3,3
148,3,3
149,3,3
150,5,4
151,3,3
152,3,3
154,1,1
157,1,1
158,4,2
159,4,2
160,3,3
162,4,2
164,3,3
165,4,2
166,1,1
167,2,2
169,3,3
170,5,4
174,3,3
176,2,2
177,3,3
178,2,2
180,1,1
181,5,4
182,4,2
183,1,1
184,3,3
185,3,3
186,4,2
187,2,2
188,1,1
189,3,3
190,4,2
191,2,2
192,2,2
193,3,3
194,3,3
195,3,3
196,2,2
197,3,3
198,4,2
199,5,4
200,4,2
201,2,2
202,3,3
204,5,4
205,3,3
206,2,2
207,3,3
208,3,3
209,3,3
210,1,1
211,2,2
213,1,1
215,3,3
216,3,3
217,3,3
218,4,2
219,5,4
220,1,1
222,2,2
223,3,3
224,4,2
226,1,1
227,3,3
229,4,2
230,4,2
232,2,2
234,4,2
235,4,2
236,2,2
237,2,2
239,3,3
240,3,3
241,1,1
242,3,3
243,4,2
244,5,4
245,4,2
247,4,2
248,2,2
249,4,2
252,5,4
254,5,4
256,4,2
257,1,1
258,4,2
259,4,2
261,2,2
262,4,2
263,1,1
266,1,1
267,4,2
268,5,4
269,4,2
272,3,3
274,3,3
275,4,2
281,5,4
282,2,2
283,2,2
285,3,3
287,3,3
288,3,3
289,3,3
291,3,3
292,3,3
295,4,2
296,4,2
298,4,2
301,2,2
302,1,1
303,5,4
305,3,3
306,1,1
308,5,4
311,1,1
312,4,2
313,3,3
314,4,2
316,2,2
317,2,2
319,2,2
320,5,4
322,4,2
323,5,4
324,4,2
325,3,3
327,5,4
328,3,3
329,3,3
331,5,4
332,5,4
333,1,1
334,3,3
337,1,1
338,4,2
339,3,3
340,4,2
342,3,3
343,3,3
344,3,3
345,3,3
346,3,3
347,2,2
350,3,3
352,3,3
358,2,2
360,4,2
366,4,2
370,3,3
371,5,4
372,1,1
373,3,3
374,4,2
375,3,3
379,5,4
380,3,3
381,4,2
382,2,2
383,1,1
384,2,2
386,5,4
387,3,3
388,3,3
390,4,2
391,3,3
392,2,2
394,2,2
396,5,4
398,2,2
401,3,3
403,2,2
406,3,3
407,3,3
409,1,1
410,3,3
