stud.id,cl1,cl2,cl3,cl4,total,cluster
4,12,19,35,8,74,1
5,4,27,19,13,63,2
6,16,23,32,10,81,1
11,5,11,10,12,38,3
12,14,21,28,10,73,1
18,10,27,40,12,89,1
21,8,10,21,18,57,2
24,12,21,9,15,57,2
30,2,19,5,3,29,4
32,1,19,10,2,32,3
33,6,12,6,6,30,3
36,0,10,2,0,12,4
40,4,11,5,0,20,4
41,7,23,39,7,76,1
46,6,17,24,7,54,2
49,7,23,20,8,58,2
58,7,16,27,10,60,2
62,1,17,4,1,23,4
63,5,16,14,9,44,2
64,3,18,6,3,30,4
65,6,15,5,1,27,4
66,2,15,4,4,25,4
67,0,3,1,0,4,4
68,5,19,19,9,52,2
70,4,13,11,3,31,3
77,4,23,12,2,41,3
83,6,20,3,7,36,3
87,1,17,6,5,29,4
94,4,9,2,4,19,4
96,8,13,4,5,30,3
105,2,23,8,9,42,3
106,0,12,5,1,18,4
107,15,20,23,16,74,1
108,4,22,8,3,37,3
111,14,22,24,18,78,1
117,1,11,6,4,22,4
119,4,16,6,7,33,3
122,4,15,18,15,52,2
123,3,18,11,4,36,3
130,8,13,22,11,54,2
132,2,16,4,4,26,4
134,6,19,15,10,50,2
135,4,14,22,19,59,2
136,8,23,17,14,62,2
137,10,15,19,15,59,2
139,13,21,18,12,64,2
142,1,19,26,13,59,2
144,7,18,20,8,53,2
146,38,8,41,4,91,1
147,12,11,5,8,36,3
148,7,16,18,5,46,3
149,7,26,16,9,58,2
151,12,21,18,2,53,3
152,4,23,9,1,37,3
160,2,22,17,10,51,2
164,3,14,12,6,35,3
165,2,13,2,2,19,4
166,21,11,16,10,58,1
167,5,17,11,3,36,3
169,4,6,8,11,29,3
172,16,24,47,17,104,1
174,1,20,8,3,32,4
177,4,14,23,4,45,3
178,2,16,15,1,34,3
184,3,22,15,4,44,3
185,1,17,13,12,43,2
186,0,16,3,2,21,4
187,5,19,11,3,38,3
188,6,20,19,5,50,3
191,3,18,7,1,29,4
195,8,14,14,13,49,2
196,5,18,5,11,39,3
198,2,18,4,1,25,4
200,1,18,5,4,28,4
201,1,18,4,4,27,4
202,2,23,9,7,41,3
205,2,19,11,5,37,3
208,7,7,9,6,29,3
209,4,14,7,10,35,3
213,9,23,14,9,55,2
215,2,14,18,9,43,2
217,2,20,11,10,43,2
220,0,23,15,25,63,2
223,1,22,13,5,41,3
226,5,18,18,11,52,2
227,0,22,18,10,50,2
228,27,54,34,9,124,1
230,2,14,7,3,26,4
234,4,18,6,1,29,4
235,0,14,7,1,22,4
236,3,16,11,5,35,3
237,3,16,6,1,26,4
241,11,16,12,9,48,3
242,4,18,15,12,49,2
243,4,15,7,4,30,3
248,3,18,16,7,44,2
249,1,14,5,3,23,4
252,1,12,3,5,21,4
254,1,7,6,0,14,4
258,0,4,6,2,12,4
263,17,19,26,4,66,1
267,1,17,7,1,26,4
272,8,19,18,3,48,3
274,5,27,21,8,61,2
281,2,8,3,6,19,4
288,6,12,10,7,35,3
289,3,24,9,3,39,3
291,3,16,6,17,42,3
295,1,7,3,2,13,4
296,2,20,6,3,31,4
300,13,19,12,24,68,2
302,3,17,11,5,36,3
303,0,6,6,1,13,4
304,21,23,25,18,87,1
305,8,22,22,4,56,3
306,24,20,21,11,76,1
312,0,19,11,3,33,3
313,6,19,14,7,46,2
314,0,14,8,3,25,4
322,6,13,3,0,22,4
327,0,10,1,1,12,4
328,7,15,9,9,40,3
332,0,15,2,4,21,4
333,10,17,37,19,83,1
337,6,22,28,14,70,2
338,0,21,2,3,26,4
339,6,23,19,3,51,3
342,2,19,11,24,56,2
343,2,17,10,2,31,3
346,10,20,11,8,49,3
350,12,18,9,17,56,2
351,16,19,29,9,73,1
352,1,19,18,11,49,2
360,1,15,5,3,24,4
371,3,13,2,2,20,4
378,12,33,20,8,73,2
380,0,17,9,5,31,3
382,0,11,3,6,20,4
387,5,12,6,4,27,3
388,1,17,10,3,31,3
394,3,16,9,8,36,3
398,6,12,7,8,33,3
407,4,19,12,10,45,2
409,7,22,35,12,76,1
