STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,state,S1,S2,S3,S4,S5,S6
4,20,0,0,0,0,6,6,0,6,0,0,0,0,0,1
4,21,7,6,0,0,1,4,0,1,1,0,0,0,0,0
4,22,10,8,0,0,0,1,0,4,0.00910149139728621,0,0,0.990898508602714,0,0
4,23,8,3,0,0,1,2,0,1,1,0,0,0,0,0
4,24,2,10,8,8,1,2,0,5,0,0,0,0,1,0
4,25,0,0,0,0,2,8,2,6,0,0,0,0,0,1
4,26,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,27,9,7,0,0,0,2,0,1,1,0,0,0,0,0
4,28,1,10,0,0,0,10,0,1,1,0,0,0,0,0
4,29,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,30,6,6,0,0,0,5,0,1,1,0,0,0,0,0
4,31,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,32,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,33,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,34,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,35,0,0,0,0,0,0,10,6,0,0,0,0,0,1
4,36,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,37,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,38,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,39,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,40,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,41,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,42,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,43,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,44,0,0,0,0,10,0,0,6,0,0,0,0,0,1
4,45,0,0,0,0,10,0,0,6,0,0,0,0,0,1
4,46,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,47,10,6,0,0,0,0,0,4,0.000298778606047725,0,0,0.999701221393952,0,0
4,48,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,49,0,0,10,3,0,0,0,2,0,0.999997195406406,0,0,2.80459359393007e-06,0
4,50,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,51,10,5,0,0,0,0,0,4,0.000162741202116383,0,0,0.999837258797884,0,0
4,52,0,0,0,0,0,8,3,6,0,0,0,0,0,1
4,53,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,54,0,0,10,3,0,0,0,2,0,0.999997195406406,0,0,2.80459359393007e-06,0
4,55,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,56,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,57,0,0,10,3,0,0,0,2,0,0.999997195406406,0,0,2.80459359393007e-06,0
4,58,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,59,3,7,0,0,1,2,5,1,1,0,0,0,0,0
4,60,10,3,0,0,0,0,0,4,6.6296816101875e-05,0,0,0.999933703183898,0,0
4,61,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,62,0,0,10,3,0,0,0,2,0,0.999997195406406,0,0,2.80459359393007e-06,0
4,63,0,0,10,4,0,0,0,2,0,0.999997436571805,0,0,2.56342819512196e-06,0
4,64,6,9,0,0,1,4,0,1,1,0,0,0,0,0
4,65,0,0,0,0,0,10,0,3,0,0,1,0,0,0
4,66,0,0,10,3,0,0,0,2,0,0.999997195406406,0,0,2.80459359393007e-06,0
5,104,0,0,0,0,0,10,0,3,0,0,1,0,0,0
5,105,0,0,0,0,8,3,0,6,0,0,0,0,0,1
5,106,0,0,0,0,0,10,0,3,0,0,1,0,0,0
5,107,0,0,0,0,0,10,0,3,0,0,1,0,0,0
5,108,0,0,0,0,0,10,0,3,0,0,1,0,0,0
