STUDENT_ID,cl5,cl4,cl3
5,1,1,1
7,2,2,2
9,2,2,2
10,3,3,3
11,1,1,1
12,1,1,1
13,2,2,2
14,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,2,2,2
22,2,2,2
23,1,1,1
24,4,4,3
25,2,2,2
26,3,3,3
27,3,3,3
28,1,1,1
30,1,1,1
31,2,2,2
32,1,1,1
34,1,1,1
36,3,3,3
37,3,3,3
40,2,2,2
41,1,1,1
42,2,2,2
45,2,2,2
46,1,1,1
47,1,1,1
49,5,4,3
50,2,2,2
52,1,1,1
53,4,4,3
54,2,2,2
55,2,2,2
56,5,4,3
58,3,3,3
59,2,2,2
60,5,4,3
61,3,3,3
63,1,1,1
64,4,4,3
65,1,1,1
66,3,3,3
70,1,1,1
71,3,3,3
72,1,1,1
73,3,3,3
75,1,1,1
76,3,3,3
78,1,1,1
79,5,4,3
80,3,3,3
81,4,4,3
82,2,2,2
84,3,3,3
86,2,2,2
87,1,1,1
90,3,3,3
91,3,3,3
92,1,1,1
93,1,1,1
94,1,1,1
97,3,3,3
98,3,3,3
99,2,2,2
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
105,3,3,3
106,3,3,3
107,1,1,1
108,2,2,2
109,2,2,2
110,2,2,2
111,3,3,3
113,2,2,2
115,5,4,3
117,1,1,1
118,1,1,1
119,1,1,1
120,1,1,1
121,3,3,3
122,1,1,1
124,2,2,2
125,1,1,1
127,1,1,1
128,5,4,3
129,2,2,2
130,1,1,1
131,4,4,3
132,1,1,1
133,5,4,3
134,3,3,3
135,4,4,3
137,2,2,2
138,1,1,1
139,3,3,3
140,1,1,1
141,4,4,3
143,1,1,1
144,5,4,3
146,1,1,1
148,2,2,2
151,2,2,2
152,5,4,3
153,2,2,2
155,5,4,3
156,5,4,3
162,1,1,1
163,1,1,1
164,1,1,1
165,1,1,1
167,1,1,1
168,2,2,2
172,1,1,1
173,1,1,1
174,1,1,1
175,2,2,2
176,3,3,3
177,1,1,1
178,1,1,1
180,5,4,3
181,2,2,2
182,4,4,3
184,3,3,3
185,2,2,2
187,4,4,3
189,3,3,3
190,1,1,1
191,2,2,2
192,3,3,3
193,1,1,1
194,1,1,1
195,1,1,1
196,1,1,1
197,2,2,2
198,2,2,2
199,1,1,1
200,1,1,1
201,2,2,2
202,2,2,2
203,3,3,3
206,2,2,2
208,3,3,3
209,1,1,1
210,1,1,1
211,3,3,3
214,2,2,2
216,1,1,1
218,5,4,3
220,3,3,3
221,1,1,1
222,1,1,1
223,2,2,2
224,5,4,3
225,3,3,3
228,1,1,1
229,2,2,2
230,1,1,1
231,3,3,3
232,2,2,2
233,5,4,3
234,1,1,1
235,1,1,1
236,1,1,1
237,1,1,1
238,1,1,1
239,1,1,1
241,1,1,1
242,2,2,2
243,3,3,3
244,1,1,1
245,2,2,2
246,2,2,2
250,2,2,2
251,3,3,3
252,1,1,1
254,3,3,3
257,3,3,3
259,3,3,3
261,2,2,2
262,1,1,1
264,1,1,1
265,2,2,2
267,1,1,1
268,1,1,1
270,1,1,1
271,3,3,3
273,2,2,2
276,2,2,2
278,4,4,3
279,2,2,2
280,1,1,1
281,1,1,1
282,1,1,1
283,2,2,2
285,1,1,1
286,2,2,2
287,3,3,3
288,1,1,1
289,5,4,3
290,5,4,3
292,1,1,1
294,2,2,2
296,2,2,2
297,1,1,1
298,1,1,1
300,1,1,1
301,1,1,1
303,3,3,3
304,2,2,2
305,1,1,1
306,3,3,3
309,1,1,1
310,1,1,1
311,3,3,3
312,3,3,3
313,1,1,1
316,1,1,1
318,2,2,2
320,1,1,1
321,1,1,1
323,1,1,1
324,1,1,1
325,1,1,1
326,1,1,1
327,3,3,3
329,2,2,2
330,3,3,3
333,3,3,3
334,2,2,2
335,3,3,3
336,1,1,1
337,5,4,3
339,2,2,2
340,3,3,3
341,3,3,3
342,4,4,3
343,1,1,1
344,1,1,1
345,4,4,3
348,1,1,1
349,2,2,2
351,1,1,1
352,1,1,1
353,4,4,3
354,3,3,3
355,1,1,1
356,2,2,2
357,3,3,3
358,4,4,3
359,1,1,1
363,2,2,2
364,2,2,2
365,2,2,2
366,3,3,3
367,1,1,1
369,3,3,3
370,2,2,2
371,2,2,2
372,1,1,1
373,3,3,3
374,4,4,3
376,1,1,1
379,1,1,1
380,1,1,1
381,2,2,2
382,2,2,2
386,1,1,1
387,2,2,2
389,1,1,1
390,2,2,2
391,3,3,3
393,1,1,1
395,2,2,2
396,1,1,1
397,1,1,1
398,2,2,2
399,2,2,2
402,3,3,3
405,1,1,1
406,1,1,1
407,3,3,3
408,4,4,3
409,1,1,1
411,2,2,2
412,4,4,3
413,2,2,2
414,4,4,3
415,5,4,3
416,4,4,3
417,4,4,3
418,3,3,3
419,1,1,1
421,3,3,3
422,3,3,3
423,1,1,1
424,2,2,2
425,2,2,2
426,2,2,2
427,1,1,1
429,3,3,3
430,3,3,3
431,2,2,2
432,3,3,3
433,3,3,3
434,3,3,3
435,2,2,2
436,5,4,3
437,4,4,3
438,2,2,2
439,3,3,3
441,3,3,3
444,5,4,3
445,2,2,2
447,2,2,2
448,1,1,1
449,1,1,1
450,2,2,2
453,1,1,1
454,1,1,1
455,4,4,3
456,2,2,2
457,1,1,1
458,5,4,3
462,2,2,2
464,4,4,3
465,4,4,3
468,3,3,3
469,2,2,2
473,1,1,1
474,1,1,1
482,1,1,1
490,1,1,1
492,2,2,2
493,4,4,3
494,1,1,1
495,3,3,3
496,3,3,3
497,1,1,1
499,3,3,3
500,5,4,3
503,2,2,2
504,3,3,3
505,5,4,3
506,1,1,1
511,1,1,1
512,3,3,3
513,1,1,1
514,1,1,1
517,2,2,2
557,4,4,3
