STUDENT_ID,cl3,cl4,cl5
5,1,1,1
10,1,1,1
11,1,1,1
12,2,2,2
13,2,3,3
14,1,1,1
18,2,3,3
19,2,2,2
20,2,2,2
21,2,2,2
22,2,3,3
23,2,2,2
24,1,1,1
25,2,2,2
26,1,1,1
27,1,1,1
28,1,1,1
30,2,2,2
31,2,3,3
32,2,2,2
34,2,3,3
36,1,1,1
37,2,2,2
40,2,3,3
41,2,2,2
46,1,1,1
47,1,1,1
49,3,4,4
52,2,3,3
53,3,4,4
55,2,3,3
56,3,4,4
58,1,1,1
59,2,3,3
60,3,4,4
61,1,1,1
63,2,3,3
64,1,1,5
65,2,2,2
66,2,2,2
70,2,3,3
71,2,2,2
72,1,1,1
73,1,1,1
75,2,2,2
76,2,2,2
78,2,2,2
79,3,4,4
80,2,2,2
81,1,1,5
82,2,3,3
84,1,1,5
86,2,2,2
87,2,2,2
90,3,4,4
91,1,1,1
92,2,3,3
93,2,2,2
94,2,2,2
97,3,4,4
98,1,1,5
99,2,3,3
100,2,2,2
101,1,1,1
102,1,1,1
103,2,2,2
105,1,1,1
106,1,1,5
107,2,2,2
108,2,2,2
111,1,1,1
113,2,3,3
115,3,4,4
117,2,3,3
118,2,3,3
120,1,1,1
121,2,2,2
122,2,3,3
124,2,3,3
125,2,2,2
127,2,3,3
128,3,4,4
129,2,2,2
130,2,2,2
132,2,2,2
133,3,4,4
134,1,1,1
137,2,2,2
138,1,1,1
139,3,4,4
140,1,1,1
143,2,2,2
144,1,1,5
146,1,1,1
148,2,3,3
150,2,2,2
152,3,4,4
153,2,3,3
156,3,4,4
162,2,2,2
163,2,2,2
164,2,2,2
165,2,2,2
167,2,3,3
168,2,3,3
172,2,2,2
173,2,2,2
174,2,2,2
175,2,3,3
176,3,4,4
177,2,2,2
178,1,1,1
180,3,4,4
181,2,3,3
182,3,4,4
184,1,1,5
185,2,2,2
187,3,4,4
189,3,4,4
190,1,1,5
191,2,3,3
192,1,1,1
193,2,3,3
194,1,1,1
195,2,2,2
196,3,4,4
197,2,3,3
198,2,3,3
199,2,2,2
200,1,1,5
202,2,3,3
203,1,1,1
206,2,3,3
208,3,4,4
209,2,2,2
210,1,1,1
211,3,4,4
214,2,3,3
216,2,2,2
220,1,1,1
221,2,2,2
222,2,2,2
223,2,2,2
224,3,4,4
225,1,1,5
228,2,3,3
229,2,3,3
230,2,2,2
231,1,1,5
232,2,3,3
233,1,1,5
234,2,3,3
235,1,1,5
236,2,3,3
237,2,2,2
238,2,2,2
239,1,1,1
241,2,2,2
242,2,3,3
243,1,1,5
244,2,2,2
245,2,2,2
246,2,2,2
251,1,1,1
252,2,2,2
254,1,1,1
257,1,1,5
259,1,1,1
261,2,3,3
262,2,3,3
264,1,1,5
265,2,2,2
267,2,3,3
268,2,2,2
270,2,3,3
271,3,4,4
273,2,2,2
278,1,1,1
280,3,4,4
281,1,1,1
282,1,1,1
283,2,3,3
285,2,3,3
286,2,3,3
287,3,4,4
288,1,1,1
289,1,1,1
290,3,4,4
292,2,2,2
294,2,3,3
296,2,3,3
297,2,2,2
298,1,1,1
300,1,1,1
301,2,2,2
303,1,1,5
304,2,3,3
305,1,1,5
306,1,1,1
309,1,1,5
310,2,2,2
311,1,1,1
312,1,1,1
313,2,2,2
316,2,2,2
318,2,2,2
320,2,2,2
321,2,2,2
323,2,2,2
324,1,1,5
325,2,3,3
326,1,1,1
327,1,1,5
329,2,2,2
330,3,4,4
333,1,1,5
335,2,2,2
336,1,1,1
337,3,4,4
339,2,3,3
340,3,4,4
341,3,4,4
342,3,4,4
343,2,2,2
344,2,3,3
345,1,1,1
348,2,2,2
349,2,2,2
351,2,2,2
352,1,1,1
353,1,1,5
354,2,2,2
355,2,2,2
356,2,2,2
357,3,4,4
358,1,1,5
359,2,3,3
363,2,3,3
364,2,2,2
365,2,3,3
366,3,4,4
367,2,3,3
369,1,1,1
370,2,3,3
371,2,2,2
372,1,1,1
373,1,1,1
374,1,1,1
376,2,2,2
377,3,4,4
379,2,2,2
380,2,2,2
381,2,3,3
382,2,3,3
386,2,2,2
389,1,1,5
390,2,2,2
391,1,1,1
393,2,3,3
395,2,3,3
396,1,1,1
397,2,3,3
402,1,1,1
404,2,3,3
405,2,3,3
406,1,1,1
407,1,1,1
408,3,4,4
409,1,1,1
411,2,2,2
412,3,4,4
414,3,4,4
415,3,4,4
416,1,1,1
417,1,1,1
418,1,1,1
419,1,1,1
421,1,1,1
422,1,1,1
423,1,1,5
424,2,3,3
425,2,2,2
427,2,2,2
429,1,1,1
430,3,4,4
432,1,1,1
433,1,1,1
434,3,4,4
435,2,2,2
436,3,4,4
437,3,4,4
438,2,2,2
439,1,1,5
441,2,2,2
444,3,4,4
445,2,3,3
447,2,3,3
448,2,2,2
449,1,1,1
450,2,2,2
453,2,3,3
454,2,2,2
455,1,1,5
457,1,1,1
458,3,4,4
462,2,3,3
464,1,1,1
465,3,4,4
468,1,1,5
473,1,1,1
474,2,3,3
482,2,3,3
490,2,2,2
492,2,3,3
493,1,1,1
494,2,2,2
495,3,4,4
496,1,1,1
497,2,3,3
499,3,4,4
503,2,3,3
504,1,1,1
505,3,4,4
506,2,2,2
511,1,1,5
512,1,1,1
513,1,1,1
514,1,1,1
517,2,3,3
557,3,4,4
