STUDENT_ID,SESSION_ID,FA_PERC,FA_CO_PERC,SA_PERC,SA_CO_PERC,VID_PERC,READ_PERC,METACOG_PERC,WEEK,state,S1,S2,S3,S4
5,60,0,0,10,5,0,0,0,7,2,0,1,0,0
5,61,0,0,0,0,0,0,10,7,4,0,0,0,1
5,62,0,0,0,0,0,0,10,7,4,0,0,0,1
7,194,0,0,0,0,0,10,0,7,1,1,0,0,0
7,195,0,0,10,4,0,1,0,7,2,0,1,0,0
7,196,0,0,0,0,0,10,0,7,1,1,0,0,0
7,197,0,0,0,0,0,10,0,7,1,1,0,0,0
7,198,0,0,10,10,0,0,0,7,2,0,1,0,0
7,199,0,0,10,10,0,0,0,7,2,0,1,0,0
7,200,0,0,10,7,0,0,0,7,2,0,1,0,0
9,414,0,0,0,0,0,10,0,7,1,1,0,0,0
9,415,0,0,4,9,0,7,1,7,3,0,0,1,0
9,416,0,0,0,0,0,10,0,7,1,1,0,0,0
9,417,0,0,10,6,0,1,0,7,2,0,1,0,0
9,418,0,0,0,0,0,10,0,7,1,1,0,0,0
9,419,0,0,0,0,4,4,0,7,3,0,0,1,0
9,420,0,0,0,0,0,10,0,7,1,1,0,0,0
9,421,10,7,0,0,0,0,0,7,3,0,0,1,0
9,422,10,6,0,0,0,0,0,7,3,0,0,1,0
9,423,0,0,0,0,0,10,0,7,1,1,0,0,0
10,516,2,10,0,0,1,8,0,7,3,0,0,1,0
10,517,6,3,0,0,3,1,0,7,3,0,0,1,0
10,518,0,0,0,0,0,0,10,7,4,0,0,0,1
10,519,0,0,0,0,0,10,0,7,1,1,0,0,0
10,520,0,0,10,9,0,0,0,7,2,0,1,0,0
10,521,0,0,0,0,0,10,0,7,1,1,0,0,0
10,522,4,6,0,0,4,1,0,7,3,0,0,1,0
10,523,0,0,10,5,0,0,0,7,2,0,1,0,0
11,616,0,0,9,10,0,2,0,7,2,0,0.99939792953097,0.000602070469029896,0
11,617,0,0,0,0,0,10,0,7,1,1,0,0,0
11,618,5,6,6,7,0,1,0,7,3,0,0,1,0
11,619,0,0,0,0,0,0,10,7,4,0,0,0,1
12,684,0,0,10,7,0,0,0,7,2,0,1,0,0
12,685,0,0,10,9,0,0,0,7,2,0,1,0,0
12,686,0,0,0,0,0,10,0,7,1,1,0,0,0
12,687,0,0,0,0,0,10,0,7,1,1,0,0,0
12,688,0,0,10,0,0,0,0,7,2,0,1,0,0
12,689,0,0,10,7,0,0,0,7,2,0,1,0,0
12,690,0,0,0,0,0,10,0,7,1,1,0,0,0
12,691,0,0,0,0,0,10,0,7,1,1,0,0,0
13,819,0,0,9,9,0,2,0,7,2,0,0.99967724244531,0.0003227575546903,0
13,820,0,0,0,0,0,10,0,7,1,1,0,0,0
13,821,0,0,0,0,0,6,6,7,1,0.993247086084779,0,0.00675291391522097,0
13,822,0,0,0,0,0,10,0,7,1,1,0,0,0
14,913,0,0,9,9,0,2,0,7,2,0,0.99967724244531,0.0003227575546903,0
14,914,0,0,0,0,0,10,0,7,1,1,0,0,0
14,915,0,0,10,5,0,1,0,7,2,0,1,0,0
14,916,0,0,0,0,0,10,0,7,1,1,0,0,0
18,1042,0,0,0,0,0,10,0,7,1,1,0,0,0
18,1043,0,0,0,0,0,10,0,7,1,1,0,0,0
18,1044,0,0,0,0,0,10,0,7,1,1,0,0,0
18,1045,0,0,8,8,0,3,0,7,2,0,0.975042012054771,0.0249579879452288,0
18,1046,0,0,0,0,0,10,0,7,1,1,0,0,0
18,1047,0,0,10,7,0,0,0,7,2,0,1,0,0
19,1170,0,0,10,5,0,0,0,7,2,0,1,0,0
19,1171,0,0,0,0,0,10,0,7,1,1,0,0,0
19,1172,0,0,10,4,0,0,1,7,2,0,1,0,0
19,1173,0,0,0,0,0,0,10,7,4,0,0,0,1
19,1174,0,0,0,0,3,3,6,7,3,0,0,1,0
20,1277,0,0,0,0,0,10,0,7,1,1,0,0,0
20,1278,0,0,8,10,0,3,0,7,2,0,0.958431330067578,0.0415686699324224,0
20,1279,0,0,0,0,0,10,0,7,1,1,0,0,0
20,1280,0,0,0,0,0,10,0,7,1,1,0,0,0
20,1281,0,0,10,6,0,0,0,7,2,0,1,0,0
21,1372,0,0,10,4,0,1,0,7,2,0,1,0,0
21,1373,0,0,0,0,0,10,0,7,1,1,0,0,0
21,1374,0,0,10,0,0,0,0,7,2,0,1,0,0
21,1375,0,0,10,3,0,0,0,7,2,0,1,0,0
22,1497,0,0,10,6,0,1,0,7,2,0,1,0,0
22,1498,0,0,0,0,0,0,10,7,4,0,0,0,1
22,1499,0,0,0,0,0,10,0,7,1,1,0,0,0
22,1500,4,7,4,5,1,1,2,7,3,0,0,1,0
22,1501,0,0,0,0,0,0,10,7,4,0,0,0,1
23,1605,0,0,6,7,0,5,0,7,3,0,0,1,0
23,1606,0,0,0,0,0,10,0,7,1,1,0,0,0
23,1607,0,0,0,0,0,10,0,7,1,1,0,0,0
23,1608,0,0,0,0,0,10,0,7,1,1,0,0,0
23,1609,0,0,0,0,0,10,0,7,1,1,0,0,0
23,1610,0,0,0,0,0,10,0,7,1,1,0,0,0
23,1611,0,0,10,0,0,0,0,7,2,0,1,0,0
23,1612,0,0,10,6,0,0,0,7,2,0,1,0,0
23,1613,0,0,10,6,0,0,0,7,2,0,1,0,0
24,1696,0,0,0,0,0,10,0,7,1,1,0,0,0
24,1697,0,0,6,7,0,5,0,7,3,0,0,1,0
24,1698,0,0,0,0,0,10,0,7,1,1,0,0,0
24,1699,0,0,0,0,0,10,0,7,1,1,0,0,0
24,1700,0,0,0,0,0,10,0,7,1,1,0,0,0
24,1701,0,0,0,0,0,10,0,7,1,1,0,0,0
24,1702,0,0,9,7,0,2,0,7,2,0,0.999258642615509,0.000741357384490778,0
25,1805,0,0,9,8,0,2,0,7,2,0,0.999644585114017,0.000355414885983318,0
25,1806,0,0,0,0,0,10,1,7,1,1,0,0,0
25,1807,0,0,10,6,0,0,1,7,2,0,1,0,0
26,1893,0,0,10,5,0,0,0,7,2,0,1,0,0
26,1894,0,0,10,5,0,0,0,7,2,0,1,0,0
27,1949,0,0,10,9,0,0,0,7,2,0,1,0,0
27,1950,0,0,0,0,0,10,0,7,1,1,0,0,0
27,1951,0,0,10,4,0,0,0,7,2,0,1,0,0
27,1952,0,0,10,7,0,0,0,7,2,0,1,0,0
28,2035,0,0,0,0,0,0,10,7,4,0,0,0,1
28,2036,0,0,10,3,0,0,0,7,2,0,1,0,0
28,2037,0,0,10,3,0,0,0,7,2,0,1,0,0
30,2123,0,0,0,0,0,10,0,7,1,1,0,0,0
30,2124,0,0,3,10,0,8,1,7,3,0,0,1,0
31,2245,0,0,10,4,0,0,0,7,2,0,1,0,0
31,2246,0,0,0,0,0,0,10,7,4,0,0,0,1
31,2247,0,0,0,0,0,0,10,7,4,0,0,0,1
31,2248,0,0,0,0,0,0,10,7,4,0,0,0,1
31,2249,0,0,0,0,0,5,6,7,1,0.63091366556302,0,0.36908633443698,0
32,2327,0,0,10,3,0,0,1,7,2,0,1,0,0
34,2430,0,0,10,5,0,0,0,7,2,0,1,0,0
34,2431,0,0,10,4,0,0,0,7,2,0,1,0,0
