USER_ID,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,LCA_CL
679,5,4,5,5,5,4,4,5,3,5,5,5,2
680,5,5,4,5,4,5,5,5,5,5,5,5,2
681,4,3,2,2,2,3,3,3,4,2,5,3,1
682,2,2,2,2,4,4,4,2,3,3,2,3,1
683,4,3,4,2,4,4,4,2,3,3,2,1,1
688,2,2,1,2,5,3,2,1,2,2,2,1,3
689,3,2,3,3,3,1,1,2,2,3,2,1,3
691,5,4,4,4,4,2,5,3,3,3,2,3,1
693,3,5,3,3,5,4,2,4,3,4,4,4,1
694,4,4,4,5,3,5,4,4,2,3,3,3,2
695,3,3,3,3,3,3,3,3,2,2,2,3,1
699,2,3,2,2,3,3,1,3,2,2,1,3,3
700,4,5,3,2,3,4,3,5,2,4,2,4,1
701,4,5,5,4,3,5,5,4,5,3,4,1,2
702,2,2,4,5,3,3,5,4,5,3,5,5,2
703,2,2,2,2,2,1,2,1,2,2,1,1,3
705,4,2,3,3,2,4,4,3,5,3,2,4,1
706,5,4,4,2,4,3,3,1,3,2,2,3,1
707,2,2,2,5,2,1,1,4,4,5,4,5,1
708,3,4,3,5,4,4,5,5,4,5,2,3,2
709,3,2,2,2,4,2,2,1,2,2,2,1,3
710,5,5,5,4,4,5,2,5,5,4,5,5,2
712,2,1,2,2,5,2,2,3,2,2,2,3,3
713,3,4,4,4,2,4,2,3,3,3,3,3,1
714,2,2,4,3,2,3,1,2,2,5,3,4,1
717,4,2,2,2,4,2,2,1,2,3,2,1,3
718,1,2,4,2,5,2,3,4,3,2,2,3,1
720,3,4,5,5,5,5,4,4,2,4,4,3,2
721,4,5,4,3,3,4,5,3,4,5,5,1,2
722,4,5,3,5,4,4,5,4,4,3,3,4,2
723,5,5,4,3,4,2,3,3,1,2,5,5,1
724,4,3,5,5,5,5,5,1,4,4,3,3,2
727,4,5,4,5,5,4,3,5,4,3,2,5,2
728,5,2,5,4,4,5,4,5,5,4,4,1,2
729,4,3,4,3,5,3,2,3,2,3,3,3,1
730,3,3,3,3,2,3,2,3,2,2,2,3,1
731,2,2,3,2,2,3,1,5,2,4,5,1,1
732,3,3,4,3,3,3,5,3,4,4,3,1,1
733,2,2,2,4,4,2,4,4,4,1,2,5,1
734,2,4,3,4,5,3,2,3,2,2,4,5,1
735,4,2,4,2,2,2,3,1,2,2,2,3,3
736,5,5,5,5,5,5,4,5,5,5,5,5,2
737,1,3,1,2,2,2,1,1,1,1,1,3,3
738,5,5,4,5,3,5,4,5,5,4,4,1,2
739,2,2,2,2,5,2,2,1,2,2,2,3,3
740,2,2,3,2,2,1,1,1,1,1,1,1,3
741,4,4,3,3,3,4,1,5,4,5,2,4,2
743,3,2,2,5,2,3,4,4,3,2,2,3,1
744,5,2,4,3,4,3,2,2,4,3,2,1,1
745,3,4,4,2,2,5,2,4,3,3,4,5,1
746,4,3,2,2,3,2,3,2,2,1,2,1,3
747,2,3,2,2,3,2,2,3,2,2,3,1,3
748,3,2,2,3,3,3,2,3,3,3,4,1,1
749,2,2,3,2,2,2,3,4,2,2,2,3,3
750,3,2,2,2,5,3,2,3,2,2,3,1,3
751,4,2,4,4,5,3,2,4,4,1,4,3,1
753,1,2,3,3,4,3,1,3,4,4,4,5,1
754,3,3,2,2,3,3,2,3,2,2,2,3,3
755,2,2,2,4,3,3,2,5,3,3,4,3,1
756,1,2,2,4,2,1,2,2,1,1,1,1,3
757,2,3,2,3,4,3,2,4,4,4,2,3,1
758,3,3,3,3,2,2,2,2,2,2,2,3,3
759,2,2,4,1,4,4,4,3,2,2,2,5,1
760,3,3,2,2,2,3,2,2,2,3,2,4,1
761,3,2,3,3,2,4,4,2,2,2,2,1,1
762,3,3,2,4,3,4,3,4,2,3,4,4,1
763,3,3,2,2,4,2,2,1,2,2,3,3,3
764,5,2,2,1,2,2,2,2,3,3,2,1,3
765,3,4,2,4,2,3,4,1,3,2,2,1,1
767,4,5,4,3,5,3,4,3,5,4,5,1,2
768,4,3,2,4,5,3,5,3,4,4,5,1,1
769,3,2,3,2,5,2,2,3,2,2,2,3,3
770,5,4,4,5,3,5,4,4,4,4,4,5,2
771,4,2,5,5,4,2,2,3,2,4,1,5,1
772,2,4,1,3,4,3,3,3,4,4,2,3,1
773,3,2,3,3,3,2,2,2,2,2,3,3,3
774,1,2,1,1,1,2,1,1,1,1,1,1,3
775,3,4,3,3,4,4,4,4,3,3,4,3,1
777,2,5,3,2,2,3,3,2,4,5,5,3,1
778,4,4,3,3,2,3,3,2,3,2,2,1,1
779,4,2,2,3,5,3,2,4,2,2,2,3,1
780,2,2,2,2,5,2,2,4,2,3,2,3,3
781,4,4,2,2,4,1,2,4,5,3,1,1,1
782,1,3,2,2,2,2,1,3,3,2,2,1,3
784,2,3,2,1,3,4,4,4,2,2,3,1,1
786,2,2,2,3,4,2,4,4,2,5,5,3,1
787,3,4,4,4,2,5,3,5,4,5,2,4,2
788,2,2,1,5,4,5,2,1,3,3,2,5,1
789,3,3,5,1,2,2,4,5,4,2,2,1,1
790,4,4,2,3,2,3,3,4,5,2,4,3,1
791,5,3,3,5,2,2,4,3,2,2,2,4,1
792,5,4,4,5,4,4,2,4,3,3,2,3,1
793,3,5,4,3,4,3,3,4,4,2,2,4,1
794,5,5,5,3,2,3,5,4,3,3,4,4,2
795,5,5,5,5,5,5,5,5,5,5,5,5,2
797,2,3,2,1,3,1,2,2,2,1,2,1,3
798,2,2,2,2,5,3,1,3,2,1,3,3,3
799,4,3,2,5,3,2,2,3,4,2,2,1,1
800,3,5,4,3,5,4,2,3,4,3,2,3,1
801,5,4,3,4,2,3,3,2,3,2,4,3,1
803,3,2,3,4,3,3,3,3,5,3,2,4,1
804,2,3,3,3,4,5,4,4,4,4,4,3,1
806,3,4,3,3,2,4,4,3,4,5,5,4,2
807,2,2,3,2,5,2,2,2,2,2,2,1,3
808,5,5,4,4,5,3,4,4,4,5,5,5,2
810,3,3,5,5,5,5,2,5,3,2,2,5,2
811,5,4,3,4,4,5,2,4,4,4,5,5,2
813,3,3,2,2,2,2,2,2,3,2,1,3,3
814,3,3,2,3,3,2,4,3,3,3,4,1,1
816,5,5,4,5,2,4,3,4,3,2,4,5,2
818,3,3,4,4,3,4,5,3,4,5,5,1,2
820,2,3,2,2,2,4,2,4,4,3,4,3,1
821,4,4,4,4,3,4,5,3,4,3,4,1,2
822,2,2,2,2,2,3,2,3,3,2,4,5,1
823,3,2,2,3,3,4,2,3,2,4,4,3,1
825,3,3,3,5,3,2,3,1,3,2,2,5,1
826,3,2,3,3,4,2,3,3,4,2,2,3,1
827,3,4,3,3,3,4,4,3,4,2,3,1,1
828,3,4,4,5,2,3,4,4,2,3,4,4,1
830,3,4,2,3,2,4,2,5,4,3,4,4,1
832,2,4,4,3,2,2,2,2,2,2,2,1,1
833,4,3,2,4,2,3,2,3,2,2,3,4,1
834,2,2,3,3,5,2,2,1,3,5,2,3,1
835,2,3,2,4,4,3,2,3,2,5,2,4,1
837,5,5,4,4,5,3,5,5,4,3,5,5,2
839,4,4,5,2,3,3,5,3,4,4,5,1,2
840,1,3,5,4,3,4,5,4,5,5,4,3,2
841,3,5,4,4,5,4,4,4,3,5,4,4,2
843,5,4,5,3,3,4,5,4,4,4,5,4,2
844,4,5,4,4,2,5,4,3,5,5,5,4,2
845,5,3,3,3,2,4,2,3,2,3,2,3,1
847,2,3,4,3,5,3,2,3,4,3,4,5,1
848,3,5,4,4,2,4,5,4,5,3,5,1,2
849,5,2,4,3,5,3,4,1,5,4,3,5,1
850,5,3,2,2,2,2,2,2,3,3,2,1,3
851,4,3,3,4,5,2,2,4,2,3,3,3,1
852,5,5,4,3,4,4,3,3,4,5,3,1,2
853,4,3,5,5,2,4,4,4,5,5,4,4,2
854,4,4,4,5,3,5,4,5,5,5,2,4,2
855,4,2,3,2,5,3,2,2,2,2,2,3,3
856,4,3,4,3,5,4,5,2,5,5,5,4,2
857,4,3,4,5,4,4,4,5,4,4,4,4,2
858,3,5,4,4,3,5,5,5,4,5,5,4,2
859,3,4,5,5,5,5,4,5,5,5,5,3,2
860,2,1,3,2,3,2,4,2,4,3,2,1,1
861,2,2,2,2,2,2,2,2,3,3,4,3,3
862,1,2,2,4,2,2,3,3,4,4,4,3,1
863,4,2,1,4,3,2,1,1,1,1,1,1,3
864,4,5,5,4,5,3,4,5,5,2,3,1,2
865,5,5,4,5,5,4,3,5,4,3,4,5,2
866,3,3,2,2,4,3,2,3,2,3,1,3,3
867,3,5,5,5,5,4,5,5,5,5,5,5,2
868,2,4,2,3,5,2,5,5,5,5,3,4,2
869,5,5,5,4,3,5,2,4,2,5,5,4,2
870,4,4,3,3,5,5,2,3,2,2,1,3,1
871,4,4,5,5,2,4,4,5,3,5,3,4,2
872,4,3,5,5,3,5,4,4,5,5,3,4,2
873,3,4,5,4,5,4,5,5,4,4,4,3,2
874,3,2,4,4,5,3,5,4,5,4,4,5,2
875,3,2,5,3,5,2,5,2,3,3,2,3,1
876,2,2,1,2,2,4,1,1,1,1,1,1,3
877,4,3,3,5,3,4,5,5,4,5,4,5,2
878,1,2,1,1,2,1,1,1,1,1,1,1,3
879,4,4,4,4,2,3,3,3,4,5,5,4,2
880,3,4,4,3,5,3,2,2,4,2,4,4,1
881,2,4,3,2,2,2,2,3,2,3,3,1,3
882,4,4,5,4,3,5,2,5,3,4,5,3,2
884,5,5,4,5,3,5,5,5,4,4,5,5,2
885,5,4,5,4,3,3,5,2,5,5,4,1,2
886,5,5,5,5,5,5,5,5,5,5,5,5,2
887,2,4,2,5,5,4,3,1,2,3,1,3,1
888,5,5,5,5,3,5,5,4,5,4,4,5,2
889,3,4,5,5,5,4,5,3,5,5,4,1,2
890,1,1,2,2,2,1,2,2,1,2,2,1,3
891,4,2,4,3,3,2,3,3,3,1,2,1,1
892,4,4,2,3,5,2,5,5,5,5,3,4,2
893,2,3,2,5,3,3,4,3,3,3,4,5,1
894,4,4,3,4,4,3,2,3,1,2,4,1,1
895,4,5,4,5,3,5,5,5,5,4,4,5,2
896,5,4,4,5,5,4,5,5,5,4,2,1,2
897,3,2,3,3,5,4,5,2,2,4,2,1,1
898,4,3,3,2,2,3,2,3,1,2,2,3,3
899,2,3,2,3,2,2,1,2,2,2,2,3,3
900,3,4,5,4,2,4,5,2,5,4,3,1,2
901,5,3,2,3,2,2,2,3,2,2,2,1,3
902,2,3,3,3,3,4,2,3,5,3,2,4,1
905,3,4,4,4,3,4,3,4,2,3,4,1,1
907,5,5,5,3,2,4,4,2,4,2,2,1,1
908,2,2,1,2,2,2,2,2,1,2,2,3,3
909,3,4,5,4,4,2,4,3,3,4,4,4,1
910,3,2,2,2,3,2,2,3,2,2,2,1,3
911,3,2,2,2,5,2,4,4,3,3,2,3,1
912,5,5,5,4,4,5,4,4,4,4,5,5,2
913,4,2,4,3,3,1,2,3,3,1,2,3,3
914,5,5,5,4,2,5,4,4,5,4,2,3,2
916,2,2,4,2,2,2,2,3,2,3,2,1,3
917,5,3,3,5,5,3,4,1,5,2,2,3,1
918,4,3,3,4,4,4,2,3,3,3,3,1,1
919,5,2,5,5,4,5,5,5,5,5,5,5,2
920,5,5,5,5,5,5,5,5,5,5,5,5,2
921,3,2,2,3,2,3,2,3,3,2,4,3,1
922,1,2,3,3,4,4,2,4,2,4,4,3,1
923,4,4,4,3,2,3,3,5,4,5,4,4,2
924,4,5,4,4,2,4,5,3,5,4,4,5,2
925,3,3,3,4,3,4,5,2,5,3,4,3,1
926,5,5,3,5,3,3,5,2,4,5,4,3,2
927,2,3,2,3,2,2,1,2,2,2,1,1,3
928,5,4,5,5,5,3,3,5,5,2,2,5,2
929,4,5,5,3,4,5,5,3,5,5,4,4,2
930,4,5,3,5,5,4,5,3,4,2,2,1,1
932,4,2,2,3,2,4,5,2,4,4,1,4,1
933,5,3,5,2,2,3,5,5,4,5,5,3,2
934,3,2,4,3,2,5,4,5,4,4,5,4,2
935,3,5,4,5,5,5,5,3,5,4,4,4,2
936,4,5,3,5,4,5,4,5,3,5,2,3,2
937,2,2,4,3,4,3,3,1,3,2,2,1,1
938,2,3,2,2,4,3,2,1,2,2,2,3,3
940,2,3,5,4,5,5,3,5,5,5,4,5,2
941,4,4,5,5,4,4,4,4,5,5,5,5,2
942,5,3,4,3,3,5,2,4,4,3,5,4,2
943,3,5,3,3,4,4,5,5,5,4,5,4,2
944,4,3,4,4,2,3,5,3,5,5,4,4,2
945,5,5,5,4,4,3,4,4,4,4,4,4,2
946,4,5,5,2,4,5,4,2,4,4,4,4,2
947,4,4,3,3,2,3,2,3,4,5,3,4,1
948,3,4,5,4,5,4,4,4,5,5,5,4,2
949,4,4,5,4,4,4,1,4,5,5,5,3,2
950,5,5,5,5,5,5,3,5,5,3,4,5,2
951,5,5,5,5,3,5,5,4,4,4,4,3,2
953,2,2,2,2,2,3,2,3,2,3,3,5,1
954,5,5,5,4,2,3,5,4,2,5,4,1,2
955,5,5,5,3,5,5,5,5,5,5,5,5,2
956,4,3,4,3,2,3,4,2,4,4,4,1,1
957,2,2,2,3,4,2,2,3,2,3,2,4,1
958,5,4,5,5,3,3,2,4,4,2,2,3,1
959,2,2,2,2,4,2,1,3,2,2,1,3,3
