STUDENT_ID,cl3,cl4,cl5
679,1,1,1
681,2,2,2
682,3,3,3
683,2,2,2
689,3,3,3
691,1,1,4
693,2,2,2
694,1,1,4
695,2,2,2
699,3,4,5
700,2,2,2
701,1,1,1
702,1,1,1
705,2,2,2
706,2,2,2
707,1,1,1
708,1,1,4
709,3,4,5
710,1,1,1
712,3,4,5
713,2,2,2
714,3,3,3
717,3,4,5
718,3,3,3
720,1,1,4
721,1,1,4
722,1,1,4
723,1,1,4
724,1,1,4
727,1,1,4
728,1,1,1
729,2,2,2
730,3,3,3
731,2,2,2
732,2,2,2
733,2,2,2
734,3,3,3
735,3,3,3
738,1,1,1
739,3,4,5
740,3,4,5
741,2,2,2
743,2,2,2
744,2,2,2
745,1,1,4
746,3,4,5
747,3,4,5
748,3,3,3
749,3,3,3
750,3,4,5
751,2,2,2
753,2,2,2
754,3,3,3
755,2,2,2
756,3,4,5
757,2,2,2
758,3,3,3
759,3,3,3
760,3,4,5
761,2,2,2
762,2,2,2
763,3,4,5
764,3,3,3
765,2,2,2
767,1,1,4
768,2,2,2
769,3,4,5
770,1,1,4
771,2,2,2
772,3,3,3
773,3,3,3
775,2,2,2
777,2,2,2
778,3,3,3
779,3,3,3
780,3,4,5
781,1,1,4
782,3,4,5
784,3,3,3
786,2,2,2
787,1,1,4
788,2,2,2
789,2,2,2
790,1,1,4
791,2,2,2
792,1,1,4
793,2,2,2
794,1,1,1
797,3,4,5
798,3,4,5
799,2,2,2
800,2,2,2
801,2,2,2
803,2,2,2
804,2,2,2
806,2,2,2
807,3,4,5
808,1,1,1
810,1,1,4
811,1,1,4
813,3,3,3
814,2,2,2
816,1,1,4
818,1,1,4
820,3,3,3
821,1,1,4
822,3,3,3
823,3,3,3
825,2,2,2
826,3,4,5
827,2,2,2
828,1,1,4
830,2,2,2
832,3,4,5
833,2,2,2
834,2,2,2
835,2,2,2
837,1,1,4
839,1,1,4
840,1,1,4
841,1,1,4
843,1,1,1
844,1,1,1
845,2,2,2
847,3,3,3
848,1,1,4
849,1,1,4
850,2,2,2
851,3,3,3
852,1,1,4
853,1,1,1
854,1,1,1
855,3,4,5
856,1,1,4
857,1,1,4
858,1,1,1
859,1,1,4
860,3,3,3
861,3,4,5
862,2,2,2
863,3,3,3
864,1,1,1
865,1,1,4
866,3,3,3
868,1,1,4
869,1,1,4
870,2,2,2
871,1,1,4
872,1,1,1
873,1,1,4
874,1,1,4
875,2,2,2
877,1,1,1
879,1,1,4
880,2,2,2
881,3,3,3
882,1,1,4
884,1,1,1
885,1,1,1
887,2,2,2
889,1,1,1
891,3,3,3
892,1,1,4
893,2,2,2
894,2,2,2
895,1,1,1
896,1,1,4
897,3,3,3
898,3,3,3
899,3,4,5
900,1,1,4
901,3,3,3
902,3,3,3
905,2,2,2
907,1,1,4
908,3,4,5
909,1,1,4
910,3,4,5
911,3,3,3
912,1,1,1
913,3,3,3
914,1,1,1
916,3,3,3
917,1,1,1
918,2,2,2
921,3,3,3
922,3,3,3
923,1,1,4
924,1,1,4
925,1,1,4
926,1,1,1
927,3,3,3
928,1,1,1
929,1,1,1
930,1,1,4
932,2,2,2
933,1,1,4
934,1,1,4
936,1,1,4
937,3,4,5
938,3,4,5
940,1,1,1
941,1,1,1
942,1,1,4
943,1,1,4
944,1,1,4
945,1,1,1
946,1,1,4
947,2,2,2
948,1,1,4
949,1,1,4
951,1,1,1
953,3,3,3
954,1,1,1
956,2,2,2
957,3,4,5
958,1,1,1
959,3,4,5
960,3,3,3
961,3,3,3
962,1,1,4
963,1,1,1
965,1,1,1
967,1,1,4
968,1,1,4
969,3,4,5
970,2,2,2
971,1,1,1
972,1,1,4
973,2,2,2
974,1,1,4
975,2,2,2
976,3,3,3
977,2,2,2
979,2,2,2
980,3,4,5
983,1,1,4
985,2,2,2
987,2,2,2
990,1,1,1
991,1,1,1
992,1,1,4
993,1,1,1
996,1,1,1
997,1,1,4
998,1,1,4
999,1,1,4
1000,3,3,3
1001,2,2,2
1002,1,1,1
1003,3,3,3
1004,1,1,4
1005,1,1,4
1006,2,2,2
1007,3,4,5
1008,2,2,2
1009,1,1,4
1010,3,4,5
1011,1,1,1
1012,3,4,5
1013,2,2,2
1014,1,1,4
1015,2,2,2
1017,2,2,2
1018,1,1,4
1019,1,1,4
1020,2,2,2
1021,1,1,4
1022,3,3,3
1024,3,4,5
1026,2,2,2
1027,3,3,3
1028,1,1,1
1029,1,1,4
1030,1,1,1
1032,3,3,3
1033,3,4,5
1034,3,3,3
1035,3,3,3
1036,2,2,2
1037,3,4,5
1038,1,1,4
1039,3,3,3
1040,3,3,3
1041,3,3,3
1042,1,1,4
1044,3,3,3
1046,1,1,4
1047,3,3,3
1048,3,3,3
1050,2,2,2
1051,3,3,3
1052,2,2,2
1053,1,1,4
1054,2,2,2
1055,1,1,4
1056,2,2,2
1057,3,4,5
1058,3,3,3
1059,2,2,2
1060,1,1,4
1061,1,1,4
1062,3,4,5
1063,1,1,4
1064,1,1,4
1065,2,2,2
1066,1,1,4
1067,3,3,3
1070,1,1,1
1071,3,3,3
1072,1,1,4
1073,3,3,3
1074,3,3,3
1075,2,2,2
1076,2,2,2
1077,1,1,4
1079,3,3,3
1080,1,1,4
1081,2,2,2
1082,1,1,4
1083,1,1,4
1084,1,1,1
1085,1,1,4
1086,2,2,2
1087,1,1,4
1088,1,1,4
1089,1,1,4
1090,3,4,5
1091,2,2,2
1092,3,4,5
1093,1,1,4
1094,3,3,3
1095,2,2,2
1096,1,1,4
1097,3,4,5
1098,1,1,4
1099,2,2,2
1100,3,4,5
1101,3,4,5
1102,1,1,4
1103,2,2,2
1104,2,2,2
1105,2,2,2
1106,1,1,4
1107,1,1,4
1108,1,1,4
1109,1,1,4
1112,1,1,4
1113,2,2,2
1114,1,1,1
1115,2,2,2
1116,1,1,4
1117,1,1,4
1118,3,3,3
1119,1,1,1
1120,3,4,5
1121,1,1,4
1122,2,2,2
1124,1,1,4
1125,1,1,1
1126,1,1,1
1128,1,1,4
