STUDENT_ID,cl3,cl4,cl5
679,1,1,1
681,2,2,2
682,2,2,3
683,2,2,3
689,2,2,3
691,1,3,4
693,2,2,3
694,2,2,2
695,3,4,5
699,3,4,5
700,2,2,3
701,1,1,1
702,1,1,1
705,2,2,3
706,1,3,4
707,1,3,4
708,1,1,1
709,3,4,5
710,1,1,1
712,3,4,5
713,2,2,2
714,2,2,3
717,3,4,5
718,3,4,5
720,1,1,1
721,1,1,1
722,1,3,4
723,2,2,2
724,1,1,1
727,1,1,1
728,1,3,4
729,2,2,2
730,2,2,3
731,1,3,4
732,2,2,2
733,2,2,3
734,3,4,5
735,2,2,3
738,1,1,1
739,3,4,5
740,3,4,5
741,1,3,4
743,2,2,3
744,2,2,2
745,2,2,2
746,3,4,5
747,3,4,5
748,2,2,3
749,2,2,3
750,2,2,3
751,2,2,3
753,2,2,3
754,3,4,5
755,2,2,3
756,3,4,5
757,2,2,3
758,2,2,3
759,3,4,5
760,3,4,5
761,2,2,3
762,2,2,3
763,3,4,5
764,2,2,3
765,2,2,2
767,1,3,4
768,2,2,3
769,3,4,5
770,1,3,4
771,1,3,4
772,2,2,3
773,2,2,3
775,2,2,2
777,2,2,2
778,2,2,3
779,2,2,3
780,3,4,5
781,2,2,2
782,3,4,5
784,3,4,5
786,1,3,4
787,1,1,1
788,2,2,2
789,2,2,3
790,1,1,1
791,1,3,4
792,1,1,1
793,2,2,3
794,1,3,4
797,3,4,5
798,3,4,5
799,2,2,3
800,2,2,3
801,1,3,4
803,2,2,3
804,2,2,2
806,2,2,2
807,3,4,5
808,1,3,4
810,1,3,4
811,1,3,4
813,3,4,5
814,2,2,2
816,1,3,4
818,1,1,1
820,2,2,3
821,1,1,1
822,2,2,3
823,2,2,3
825,1,3,4
826,2,2,3
827,2,2,3
828,1,1,1
830,2,2,2
832,3,4,5
833,2,2,3
834,2,2,2
835,2,2,3
837,1,3,4
839,1,1,1
840,1,1,1
841,2,2,2
843,1,1,1
844,1,1,1
845,1,3,4
847,2,2,2
848,1,1,1
849,1,3,4
850,2,2,3
851,2,2,3
852,1,3,4
853,1,1,1
854,1,3,4
855,3,4,5
856,1,1,1
857,1,3,4
858,1,1,1
859,1,3,4
860,2,2,3
861,3,4,5
862,2,2,2
863,2,2,3
864,1,1,1
865,1,1,1
866,3,4,5
868,2,2,2
869,1,1,1
870,2,2,3
871,1,1,1
872,1,3,4
873,1,1,1
874,1,3,4
875,2,2,2
877,1,1,1
879,1,1,1
880,2,2,2
881,2,2,3
882,1,1,1
884,1,1,1
885,1,3,4
887,2,2,3
889,1,1,1
891,2,2,3
892,1,1,1
893,2,2,3
894,2,2,2
895,1,1,1
896,1,1,1
897,2,2,2
898,2,2,3
899,3,4,5
900,1,3,4
901,3,4,5
902,2,2,3
905,2,2,3
907,1,3,4
908,3,4,5
909,2,2,3
910,3,4,5
911,3,4,5
912,1,1,1
913,2,2,3
914,1,1,1
916,2,2,3
917,1,3,4
918,2,2,2
921,2,2,3
922,2,2,3
923,1,1,1
924,1,1,1
925,1,3,4
926,1,1,1
927,3,4,5
928,1,3,4
929,1,1,1
930,1,3,4
932,2,2,2
933,1,1,1
934,1,1,1
936,1,3,4
937,3,4,5
938,3,4,5
940,1,3,4
941,1,1,1
942,1,1,1
943,1,1,1
944,1,1,1
945,1,3,4
946,1,1,1
947,2,2,3
948,1,1,1
949,1,1,1
951,1,1,1
953,3,4,5
954,1,3,4
956,2,2,2
957,3,4,5
958,1,3,4
959,3,4,5
960,2,2,3
961,2,2,3
962,2,2,2
963,1,3,4
965,1,1,1
967,1,1,1
968,1,3,4
969,3,4,5
970,1,3,4
971,1,1,1
972,1,3,4
973,2,2,2
974,2,2,2
975,1,3,4
976,3,4,5
977,1,3,4
979,2,2,3
980,3,4,5
983,1,3,4
985,1,3,4
987,1,3,4
990,1,3,4
991,1,3,4
992,1,1,1
993,1,3,4
996,1,1,1
997,1,3,4
998,1,1,1
999,1,1,1
1000,2,2,3
1001,2,2,3
1002,1,1,1
1003,2,2,3
1004,1,1,1
1005,1,3,4
1006,2,2,3
1007,3,4,5
1008,1,1,1
1009,2,2,2
1010,3,4,5
1011,1,1,1
1012,2,2,3
1013,2,2,3
1014,1,1,1
1015,2,2,2
1017,2,2,2
1018,1,1,1
1019,2,2,3
1020,2,2,2
1021,1,1,1
1022,2,2,3
1024,3,4,5
1026,2,2,2
1027,2,2,2
1028,1,1,1
1029,1,1,1
1030,1,1,1
1032,2,2,3
1033,3,4,5
1034,2,2,3
1035,3,4,5
1036,2,2,3
1037,3,4,5
1038,1,1,1
1039,2,2,3
1040,2,2,3
1041,2,2,3
1042,1,1,1
1044,2,2,3
1046,1,1,1
1047,2,2,3
1048,3,4,5
1050,2,2,3
1051,2,2,3
1052,2,2,3
1053,2,2,2
1054,2,2,3
1055,1,1,1
1056,1,1,1
1057,3,4,5
1058,3,4,5
1059,1,3,4
1060,2,2,2
1061,1,1,1
1062,3,4,5
1063,1,1,1
1064,1,1,1
1065,2,2,3
1066,1,1,1
1067,2,2,3
1070,1,1,1
1071,2,2,3
1072,1,1,1
1073,2,2,3
1074,2,2,3
1075,2,2,2
1076,1,3,4
1077,2,2,3
1079,3,4,5
1080,1,1,1
1081,2,2,2
1082,1,1,1
1083,1,3,4
1084,1,3,4
1085,1,1,1
1086,2,2,3
1087,1,1,1
1088,1,1,1
1089,2,2,2
1090,3,4,5
1091,2,2,2
1092,3,4,5
1093,1,1,1
1094,2,2,3
1095,2,2,3
1096,1,3,4
1097,3,4,5
1098,1,1,1
1099,1,3,4
1100,3,4,5
1101,3,4,5
1102,1,1,1
1103,1,3,4
1104,2,2,2
1105,2,2,3
1106,1,3,4
1107,2,2,2
1108,1,1,1
1109,1,3,4
1112,2,2,2
1113,2,2,3
1114,1,3,4
1115,1,3,4
1116,1,1,1
1117,1,1,1
1118,2,2,3
1119,1,1,1
1120,3,4,5
1121,1,3,4
1122,1,3,4
1124,1,3,4
1125,1,1,1
1126,1,1,1
1128,1,1,1
