user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,seq.cl
4,DENG,NA,HA,MA,A,A,SAS,SAS,SAS,A,SAS,SAS,1
5,A,HA,A,MA,MA,A,MA,SAS,DENG,A,MA,A,2
6,A,A,HA,MA,A,A,MA,A,SAS,SAS,MA,HA,2
10,SAS,SAS,SAS,SAS,MA,SAS,NA,SAS,MA,SAS,SAS,A,1
11,A,HA,A,MA,A,A,NA,A,MA,A,MA,SAS,2
12,A,A,A,SAS,DENG,A,MA,HA,MA,SAS,MA,A,2
13,MA,A,SAS,MA,HA,A,SAS,A,MA,A,SAS,A,3
16,MA,HA,HA,HA,DENG,A,MA,A,DENG,SAS,SAS,SAS,2
17,A,A,NA,MA,A,SAS,MA,A,MA,A,MA,A,2
18,A,HA,HA,MA,HA,SAS,MA,HA,MA,A,MA,HA,2
20,A,HA,HA,MA,A,A,SAS,HA,MA,SAS,SAS,SAS,2
21,MA,NA,DENG,SAS,HA,A,MA,A,DENG,SAS,MA,HA,2
24,A,A,HA,MA,HA,A,MA,A,MA,A,SAS,HA,2
29,MA,A,A,SAS,HA,A,MA,A,MA,SAS,SAS,A,2
30,MA,NA,NA,SAS,A,SAS,MA,A,SAS,SAS,SAS,A,1
32,DENG,SAS,DENG,SAS,DENG,SAS,SAS,SAS,SAS,SAS,SAS,SAS,4
33,A,A,A,MA,A,A,MA,SAS,MA,SAS,SAS,HA,2
34,MA,NA,A,SAS,MA,SAS,NA,SAS,SAS,SAS,SAS,SAS,1
36,A,DENG,NA,MA,DENG,SAS,SAS,SAS,DENG,SAS,SAS,SAS,3
38,MA,NA,HA,SAS,MA,A,NA,SAS,HA,A,SAS,A,1
39,DENG,NA,SAS,NA,DENG,NA,SAS,SAS,DENG,NA,NA,A,4
40,MA,DENG,DENG,SAS,A,SAS,SAS,SAS,SAS,SAS,SAS,HA,3
41,MA,SAS,NA,SAS,MA,SAS,SAS,SAS,SAS,SAS,SAS,A,3
42,DENG,A,SAS,SAS,DENG,SAS,SAS,NA,NA,SAS,SAS,SAS,4
43,MA,SAS,SAS,SAS,HA,SAS,SAS,SAS,SAS,SAS,SAS,A,3
45,MA,A,A,MA,A,MA,MA,A,MA,A,MA,HA,2
46,MA,A,HA,MA,A,SAS,NA,SAS,SAS,SAS,SAS,A,1
47,MA,SAS,NA,MA,A,SAS,SAS,SAS,SAS,SAS,SAS,A,3
49,A,A,A,SAS,HA,SAS,NA,SAS,SAS,SAS,SAS,A,1
50,MA,A,A,MA,HA,A,MA,HA,MA,A,SAS,A,2
51,DENG,SAS,SAS,SAS,DENG,SAS,SAS,SAS,NA,SAS,SAS,SAS,4
52,A,A,NA,MA,MA,SAS,NA,A,MA,SAS,NA,SAS,1
