user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,lca5
4,1,1,1,1,1,1,1,1,1,1,1,1,4
5,2,2,2,1,1,1,2,2,2,1,1,1,5
6,3,3,1,1,1,1,2,3,3,1,1,2,5
10,4,4,3,2,1,2,3,2,4,2,2,1,1
11,3,2,2,1,1,1,4,3,4,1,1,1,5
12,2,5,2,2,2,1,5,3,3,2,1,3,4
13,5,5,3,1,3,1,4,1,3,1,3,4,4
16,5,5,1,3,2,1,5,3,2,3,2,1,4
17,3,5,2,1,2,2,5,3,3,1,1,4,5
18,3,2,1,1,4,2,5,3,4,1,1,2,5
20,3,2,1,1,2,1,4,3,3,2,4,3,5
21,5,1,4,4,3,1,5,1,2,1,1,2,4
24,2,5,1,1,4,1,5,1,3,1,4,2,4
29,5,5,2,2,4,1,2,3,3,1,3,3,4
30,5,1,5,4,1,3,5,1,3,1,4,5,4
32,1,4,4,2,2,4,3,2,4,2,4,1,2
33,2,5,2,1,1,1,5,1,3,3,2,2,4
34,5,4,2,4,1,3,5,2,4,2,4,1,3
36,2,1,5,4,5,3,3,2,2,3,2,1,2
38,5,4,1,4,1,1,5,2,5,4,4,1,3
39,1,NA,3,NA,2,NA,1,4,2,NA,NA,4,1
40,5,1,4,4,1,2,1,4,1,2,3,5,1
41,5,4,2,2,1,2,1,4,1,1,4,1,1
42,1,5,3,4,5,4,4,NA,NA,3,2,1,2
43,5,4,3,2,3,4,1,2,1,2,4,5,1
45,5,5,2,1,1,1,2,3,3,1,1,2,4
46,5,3,1,1,2,4,4,4,4,1,4,3,3
47,5,1,5,1,1,3,3,2,1,2,3,1,1
49,3,5,2,4,4,3,5,1,4,3,2,3,3
50,5,2,2,1,3,1,5,3,3,4,4,4,5
51,1,4,3,2,5,2,3,2,NA,1,2,1,2
52,2,5,5,1,1,3,5,3,3,2,NA,1,4
53,5,3,3,4,2,2,1,4,1,2,4,4,1
57,5,5,2,1,2,1,1,4,1,1,1,2,4
58,5,5,5,1,4,1,5,2,3,1,1,3,4
60,4,4,3,4,1,2,3,2,1,2,4,1,1
61,1,1,3,4,1,3,1,2,4,2,3,1,1
62,4,1,3,2,3,2,1,4,NA,2,3,2,1
63,5,2,2,2,3,1,4,2,4,1,3,5,3
64,5,4,2,2,2,2,3,4,1,2,4,5,1
65,2,1,3,2,2,2,4,4,1,2,3,4,1
66,4,4,2,1,2,1,1,2,4,2,4,3,3
67,5,1,5,4,5,2,NA,2,2,NA,2,NA,2
68,2,5,2,1,2,3,2,2,3,1,2,4,4
70,5,3,5,4,2,2,3,1,2,2,4,1,3
72,NA,1,4,4,5,NA,2,1,NA,3,2,5,2
74,5,4,2,2,4,4,3,2,2,3,1,5,2
76,1,1,2,1,5,2,5,2,3,1,1,1,2
77,4,4,4,2,2,3,4,2,1,2,4,1,1
78,5,3,2,1,1,4,3,4,1,2,3,3,1
79,5,5,4,4,4,3,3,2,4,2,2,3,2
80,5,4,2,4,1,4,1,4,4,2,3,4,1
81,1,4,2,2,2,1,4,1,4,1,4,1,3
83,5,3,2,1,2,2,3,2,1,2,3,1,3
85,1,5,5,2,5,2,3,4,1,2,4,4,1
86,4,5,3,2,2,2,1,4,1,2,4,3,1
87,4,4,2,2,2,3,3,2,2,2,2,1,2
89,5,4,2,1,4,4,4,2,2,3,4,5,2
90,5,1,2,4,1,2,4,2,NA,NA,2,1,2
92,5,4,2,1,1,1,2,3,5,1,1,5,4
94,5,2,1,3,1,1,5,3,2,4,3,1,5
95,3,5,5,2,2,2,3,4,1,2,4,1,1
96,1,1,5,2,3,4,3,4,1,2,3,5,1
97,1,1,3,2,1,4,3,4,1,2,2,5,1
99,5,4,2,1,1,1,3,2,4,2,4,1,3
100,5,4,3,4,2,2,1,4,1,1,4,4,1
102,1,4,2,2,2,4,4,4,2,2,2,3,2
104,4,1,3,4,1,4,3,4,1,2,4,1,1
105,5,5,2,2,1,2,3,2,5,1,4,3,3
106,4,1,3,2,2,2,3,4,1,2,NA,4,1
107,3,2,1,1,3,3,4,1,3,1,1,2,5
108,2,5,2,4,4,2,5,2,1,2,3,1,3
109,NA,4,5,2,4,2,3,2,1,NA,3,3,3
111,4,2,1,2,4,1,5,3,3,1,1,3,5
114,5,4,5,1,1,4,1,4,1,1,3,1,1
117,2,2,1,1,1,1,5,1,4,3,2,3,3
118,NA,NA,3,4,1,2,3,4,1,2,3,1,1
119,2,5,2,1,2,1,5,3,3,1,1,1,4
121,1,4,3,2,2,4,4,NA,2,1,2,1,2
122,5,4,2,2,3,3,5,4,4,1,4,3,3
123,5,5,1,1,4,1,5,1,1,1,1,2,4
125,2,4,2,1,3,1,5,3,3,1,1,4,4
127,5,1,3,2,2,2,4,2,2,2,4,1,2
128,5,2,1,1,4,3,3,1,5,4,1,1,5
130,4,4,2,2,1,2,5,4,4,2,3,3,1
132,4,4,3,4,1,2,1,2,1,2,4,1,1
133,1,4,4,4,1,2,4,2,4,2,4,1,2
134,2,2,1,1,1,1,2,3,3,1,1,5,5
135,2,2,1,3,2,1,2,3,5,4,1,1,5
136,2,2,2,4,3,3,4,3,4,1,1,1,5
137,2,2,2,1,4,1,5,3,5,1,1,2,5
138,1,1,4,4,2,2,1,2,1,3,3,1,1
139,3,2,2,3,3,1,2,3,3,1,1,3,5
141,1,3,2,1,2,1,5,3,3,1,1,5,4
142,2,4,5,2,1,3,5,1,1,1,4,1,3
144,2,2,2,1,1,1,2,3,3,1,1,4,5
146,2,2,1,3,4,1,1,3,4,1,1,2,5
147,3,2,1,3,2,1,2,3,5,4,1,4,5
148,3,2,1,4,2,3,3,4,4,1,4,1,3
149,5,3,2,2,4,3,3,1,4,2,3,5,3
150,1,1,3,4,1,3,3,4,1,2,4,5,1
151,5,5,1,2,4,2,1,2,1,1,1,4,3
152,5,4,5,2,2,2,3,4,4,2,4,1,1
154,5,2,1,3,3,1,2,3,3,1,1,4,5
155,2,2,2,4,1,2,5,1,1,2,4,1,3
156,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2
157,2,5,1,4,4,3,2,1,3,2,2,2,4
158,5,2,4,NA,2,4,4,4,4,2,NA,2,2
159,1,1,4,NA,4,4,2,2,3,2,4,4,2
160,2,5,2,1,4,1,5,3,3,1,1,3,4
161,NA,NA,NA,NA,1,2,3,4,2,2,4,5,1
162,4,5,2,2,1,2,3,4,4,2,3,3,1
164,5,4,3,2,1,2,3,4,3,2,1,5,1
165,5,1,3,4,1,4,3,4,1,3,3,4,1
166,2,4,2,1,4,1,2,1,4,1,4,2,4
167,4,4,2,3,1,3,3,2,1,2,4,1,1
169,5,NA,NA,1,2,1,5,1,5,1,1,3,4
170,5,4,4,4,1,NA,4,2,NA,3,2,1,2
172,5,5,2,1,2,1,5,3,4,1,1,3,4
174,2,5,3,2,1,2,1,4,1,1,4,1,1
175,NA,1,NA,NA,NA,4,4,2,2,NA,NA,1,2
176,2,5,2,1,1,2,3,1,4,3,2,1,3
177,4,1,3,4,2,3,4,1,4,2,4,1,2
178,2,5,5,4,2,3,3,2,4,2,4,2,1
180,2,2,1,3,2,1,2,3,5,4,1,1,5
181,1,2,2,2,2,3,3,2,2,3,2,1,2
182,3,2,1,1,2,2,4,1,4,2,4,1,3
183,2,5,2,1,2,1,2,3,3,1,1,3,4
184,5,4,2,4,2,3,4,4,2,1,4,1,2
185,5,5,1,3,2,1,4,2,4,3,2,1,3
186,5,4,2,4,2,4,3,2,4,2,4,3,2
187,5,5,5,2,2,2,1,4,4,2,3,1,1
188,5,5,3,2,3,1,2,2,1,4,1,4,4
189,2,5,2,4,2,1,4,3,4,1,1,5,4
190,1,4,5,4,1,4,1,4,2,2,4,4,1
191,5,5,3,1,2,4,1,3,3,1,4,1,4
192,1,4,3,2,2,2,5,2,3,2,3,1,1
193,3,4,2,4,2,4,4,1,4,3,4,3,2
194,3,2,1,3,4,1,2,3,2,4,1,2,5
195,3,2,2,1,3,1,5,3,4,1,1,4,5
196,3,2,1,2,4,2,4,1,4,3,4,1,3
197,3,4,4,4,2,3,5,2,4,2,4,1,2
198,3,5,1,1,4,1,5,3,4,3,4,1,5
199,5,4,3,2,2,3,4,2,2,3,4,4,2
200,5,1,3,2,5,4,4,2,1,2,4,1,1
201,3,5,2,4,2,4,4,2,1,2,3,1,1
202,2,4,2,1,2,1,5,3,3,1,1,1,4
204,1,1,5,2,2,4,4,NA,2,3,2,1,2
205,2,5,1,1,2,1,3,2,1,2,4,1,3
206,4,1,5,4,2,4,4,2,4,3,4,3,2
207,2,5,1,1,2,1,1,3,3,1,1,3,4
208,2,5,2,1,2,1,2,3,3,2,4,3,4
209,3,2,1,3,1,1,2,3,3,4,1,1,5
210,3,2,1,2,4,3,2,3,4,2,NA,2,5
211,2,2,2,2,4,3,1,4,4,2,3,3,3
213,2,5,2,2,2,1,5,3,3,1,1,2,4
215,2,5,5,2,1,2,5,4,1,2,4,1,1
216,2,5,2,1,2,1,2,3,3,1,1,3,4
217,3,5,1,1,2,2,1,1,1,1,3,5,3
218,1,1,5,1,2,4,4,2,2,3,2,1,2
219,1,1,4,4,1,4,4,2,2,3,2,4,2
220,5,4,5,2,2,3,5,3,3,1,1,4,4
222,4,5,5,4,2,3,4,4,1,2,4,4,1
223,5,4,2,1,1,1,3,1,2,1,2,3,3
224,1,1,5,4,2,4,NA,4,2,2,4,1,2
226,4,5,1,1,3,1,5,3,3,1,1,3,5
227,5,4,2,4,2,4,4,1,3,1,2,3,2
228,3,5,1,4,2,1,2,3,3,1,1,4,5
229,2,5,2,4,5,4,1,2,4,2,4,5,1
230,5,1,3,4,2,4,3,2,2,2,1,1,2
232,5,5,2,2,1,1,1,2,4,2,3,1,3
234,5,5,3,2,1,4,3,2,1,1,4,4,1
235,5,1,NA,4,2,1,3,2,4,2,4,4,1
236,5,4,3,2,1,2,1,1,4,2,4,1,1
237,5,2,2,2,2,1,1,2,1,2,3,1,3
239,5,5,5,4,2,3,3,2,4,2,3,1,1
240,3,2,1,1,2,3,5,1,2,1,1,4,5
241,2,2,1,1,2,4,5,3,4,1,1,4,5
242,5,3,1,4,4,3,5,1,4,1,4,3,3
243,4,4,5,4,2,4,1,4,1,2,3,1,1
244,1,5,4,4,2,4,3,NA,3,1,NA,1,2
245,NA,5,2,4,3,2,1,4,4,1,3,5,3
247,3,5,1,3,4,1,5,3,3,1,1,3,5
248,4,5,2,4,1,3,5,3,2,3,2,1,2
249,2,1,3,4,2,4,5,NA,2,1,2,1,2
252,4,5,5,4,5,2,4,2,1,3,4,1,1
254,NA,1,3,4,2,2,4,2,2,3,2,1,2
256,NA,1,4,4,2,4,4,2,NA,NA,2,1,2
257,5,5,2,1,1,1,5,3,2,1,4,1,4
258,1,1,4,4,2,2,4,2,2,2,4,1,2
259,5,1,2,4,2,3,4,2,1,3,3,1,1
260,4,1,NA,4,1,4,3,2,2,NA,NA,1,2
261,4,4,2,4,3,3,4,4,NA,3,4,1,1
262,2,5,2,4,5,4,5,2,2,2,4,1,2
263,2,3,1,1,1,3,5,3,1,1,1,4,4
266,4,3,2,3,4,1,2,2,3,2,1,4,5
267,5,4,4,2,2,2,3,2,NA,2,4,5,1
268,4,2,4,NA,2,4,4,NA,NA,3,2,1,2
269,2,2,1,2,1,3,5,4,1,1,3,4,3
272,4,4,2,2,3,2,5,2,1,2,4,4,1
274,5,5,5,4,2,3,4,2,2,3,2,3,2
275,2,4,3,1,1,2,1,2,1,3,4,1,1
281,1,5,2,2,2,2,1,4,1,1,2,1,1
282,5,2,2,1,1,1,4,3,3,1,1,3,5
283,NA,1,2,1,4,3,5,1,1,2,4,5,3
285,5,4,2,2,2,3,5,1,1,2,3,5,3
287,2,5,5,2,1,2,1,1,1,2,2,5,3
288,4,1,2,1,5,4,2,2,2,3,2,1,2
289,5,3,5,1,4,1,1,2,1,1,2,3,3
290,4,1,4,4,2,NA,4,2,NA,2,2,1,2
291,3,2,2,3,1,1,1,3,4,2,2,3,5
292,5,4,5,2,2,3,5,1,4,1,4,4,3
295,1,1,5,4,5,3,4,NA,2,2,4,1,2
296,5,4,3,2,1,4,3,4,1,2,4,1,1
298,4,4,3,2,1,2,1,2,1,2,3,1,1
299,1,4,4,4,2,4,NA,2,4,3,2,5,2
300,3,2,1,3,1,1,2,3,3,4,4,2,5
301,3,1,3,2,3,2,3,2,4,2,4,3,1
302,2,5,2,2,1,1,2,4,3,2,4,3,4
303,2,1,4,2,2,4,4,NA,2,2,NA,1,2
304,4,5,2,1,2,1,5,1,1,2,1,2,4
305,2,2,2,3,4,3,5,4,4,1,1,3,5
306,5,5,1,1,3,2,1,2,4,4,4,4,3
308,2,5,3,2,5,4,4,2,4,3,3,4,1
310,2,5,2,1,1,4,2,1,3,1,1,4,4
311,2,5,2,1,1,1,5,1,1,2,4,4,4
312,5,1,4,4,1,4,4,2,4,3,2,1,2
313,2,5,2,1,1,3,4,1,2,3,4,1,3
314,5,4,5,2,3,4,1,2,1,2,3,1,1
316,5,5,2,1,3,2,3,4,2,2,3,3,3
317,2,2,2,1,3,2,2,2,4,2,3,2,5
319,4,5,5,1,1,4,1,4,1,1,4,4,1
320,NA,5,2,2,2,2,3,4,1,2,3,1,1
322,5,5,3,2,5,2,4,4,4,2,3,2,1
323,4,1,3,2,5,4,3,4,1,2,3,1,1
324,1,5,3,2,2,1,5,1,1,1,1,3,4
325,5,5,2,2,3,4,5,3,3,2,4,5,4
327,NA,1,3,2,NA,4,1,4,1,2,3,4,1
