user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,lca5
4,1,1,1,1,1,1,1,1,1,1,1,1,2
5,2,2,2,1,2,1,2,1,2,1,2,2,5
6,3,3,1,1,1,1,2,2,1,2,2,3,5
10,4,4,3,2,2,2,3,1,3,3,3,2,1
11,3,2,2,1,1,1,3,2,3,1,2,1,5
12,2,3,2,2,3,1,2,3,3,2,2,4,4
13,5,3,3,1,4,1,4,2,3,1,1,4,4
16,5,2,1,3,3,1,2,2,2,4,3,1,2
17,3,3,4,1,1,2,2,2,3,1,2,4,5
18,3,2,1,1,4,2,2,3,3,1,2,5,5
20,3,2,1,1,1,1,4,3,3,3,1,1,5
21,5,1,5,4,4,1,2,2,2,2,2,3,4
24,2,3,1,1,4,1,2,2,3,1,3,3,4
29,5,3,2,2,4,1,2,2,3,2,4,4,4
30,5,1,4,4,1,3,2,2,1,2,3,2,3
32,1,4,5,2,3,3,5,1,1,3,1,1,1
33,2,3,2,1,1,1,2,1,3,4,3,5,2
34,5,1,2,4,2,3,3,1,1,3,1,1,1
36,2,5,4,1,3,3,5,1,2,4,3,1,3
38,5,1,1,4,2,1,3,1,4,1,1,4,2
39,1,NA,3,NA,3,NA,1,4,2,NA,NA,4,1
40,5,5,5,4,1,2,1,4,5,3,4,5,1
41,5,4,4,2,2,2,1,1,5,2,1,4,1
42,1,3,3,4,3,3,4,NA,NA,4,3,1,3
43,5,4,3,2,5,3,1,1,5,3,1,2,1
45,5,3,2,1,1,4,2,2,3,1,2,3,4
46,5,3,1,1,1,3,3,4,1,2,1,4,2
47,5,4,4,1,1,3,5,1,1,3,4,2,1
49,3,3,2,4,4,3,3,1,1,4,3,4,2
50,5,3,2,1,5,1,2,3,3,1,1,4,5
51,1,4,3,2,3,2,5,4,NA,2,3,1,1
52,2,3,4,1,2,3,3,2,3,3,NA,1,2
53,5,3,3,1,1,3,1,4,5,3,1,4,1
57,5,3,2,1,3,1,3,4,1,1,2,5,4
58,5,3,4,1,1,1,3,1,3,1,2,4,4
60,4,4,3,1,2,2,5,1,1,3,1,1,1
61,1,5,3,4,1,3,1,1,3,3,4,4,1
62,4,1,3,2,5,2,1,4,NA,3,4,3,1
63,5,2,2,2,5,1,3,4,1,1,1,2,2
64,5,4,2,2,1,2,5,4,1,3,1,2,1
65,2,1,3,2,3,2,4,4,1,3,1,4,1
66,4,4,2,1,3,1,1,1,1,3,3,4,2
67,5,5,4,4,3,3,NA,1,2,NA,3,NA,3
68,2,3,2,1,1,3,2,1,3,2,3,4,2
70,5,3,4,4,1,2,5,1,2,2,1,1,1
72,NA,5,5,4,3,NA,2,1,NA,4,3,2,3
74,5,4,2,2,4,3,3,1,2,4,2,2,3
76,1,5,4,2,3,2,2,1,3,1,2,1,3
77,4,4,5,2,3,3,4,1,5,3,1,1,1
78,5,3,4,1,1,3,5,1,5,3,1,1,1
79,5,3,5,1,4,3,5,1,1,3,3,4,3
80,5,1,4,1,1,3,1,4,1,3,1,4,1
81,1,4,2,2,1,1,3,1,1,1,1,1,2
83,5,3,2,1,1,2,5,1,5,3,1,4,1
85,1,3,4,2,3,3,5,4,1,3,1,4,1
86,4,3,3,2,3,2,1,4,1,3,1,4,1
87,4,1,2,2,3,3,5,1,2,3,3,1,3
89,5,4,2,1,4,3,3,1,2,4,3,5,2
90,5,4,4,4,1,2,4,1,NA,NA,3,1,3
92,5,1,2,1,1,1,2,2,4,1,2,4,4
94,5,2,1,3,1,1,2,3,2,1,4,1,5
95,3,3,4,2,3,3,5,4,1,3,1,1,1
96,1,5,4,2,5,3,5,4,1,3,4,4,1
