stud.id,cl1,cl2,cl3,cl4
4,11,20,32,9
5,4,30,22,6
6,15,24,30,10
10,7,19,21,11
11,6,19,12,2
12,14,23,25,8
13,14,16,28,1
16,5,15,24,4
17,6,22,4,27
18,11,32,39,7
20,6,16,23,7
21,9,12,22,15
24,11,21,9,15
29,9,21,18,16
30,2,22,4,1
32,1,19,10,1
33,4,12,5,9
34,3,21,18,7
36,0,10,2,0
38,7,20,23,10
39,0,4,0,0
40,4,11,5,0
41,7,24,40,7
42,0,7,2,0
43,1,16,5,6
45,3,22,18,3
46,7,18,23,5
47,6,16,4,5
49,6,23,23,7
50,6,8,16,5
51,0,13,2,1
52,3,15,9,1
53,9,16,14,5
57,2,12,14,6
58,7,19,24,8
60,1,12,9,0
61,0,12,2,1
62,1,17,5,2
63,5,21,16,3
64,5,18,4,3
65,5,14,6,1
66,1,16,4,4
67,0,3,1,0
68,5,20,19,8
70,5,13,10,3
72,3,0,4,2
74,4,18,7,4
76,1,8,6,2
77,4,21,12,2
78,4,19,2,9
79,1,19,8,2
80,7,21,8,9
81,2,16,6,2
83,6,21,3,6
85,2,22,4,1
86,0,16,1,0
87,1,17,6,5
89,7,14,25,7
90,3,7,6,6
92,11,30,15,15
94,4,9,2,5
95,1,18,5,2
96,6,14,4,5
97,0,13,2,3
99,2,24,15,3
100,1,19,3,3
102,1,5,2,0
104,2,17,7,6
105,2,22,8,9
106,0,12,5,1
107,14,23,22,14
108,4,21,9,4
109,1,14,2,1
111,15,22,23,18
114,11,18,16,24
117,1,12,6,3
118,1,12,0,1
119,4,18,6,6
121,1,3,1,0
122,4,21,19,9
123,4,16,11,4
125,6,20,9,9
127,1,17,5,5
128,9,25,15,9
130,8,13,20,11
132,2,16,5,4
133,0,12,2,3
134,5,21,15,6
135,4,14,23,18
136,9,25,18,12
137,10,20,21,9
138,1,10,3,2
139,10,25,17,12
141,2,18,10,11
142,0,18,26,13
144,3,17,22,8
146,38,8,39,4
147,8,13,5,8
148,8,17,17,4
149,7,25,18,9
150,2,11,1,3
151,12,22,19,0
152,4,22,10,1
154,3,25,13,13
155,12,42,22,13
156,0,1,0,0
157,9,20,14,3
158,5,8,9,7
159,4,3,3,14
160,2,24,16,8
161,4,7,2,1
162,1,20,0,4
164,3,14,12,5
165,2,13,2,2
166,23,11,15,9
167,5,16,11,3
169,4,6,8,12
170,1,6,5,2
172,15,29,46,13
174,1,20,8,3
175,0,2,1,0
176,8,19,8,6
177,4,15,22,4
178,4,16,13,1
180,8,28,20,5
181,1,16,5,1
182,5,16,1,4
183,14,25,12,7
184,3,22,13,4
185,2,19,12,9
186,1,16,3,1
187,4,20,12,2
188,4,21,15,8
189,5,25,11,5
190,0,22,8,5
191,3,21,7,0
192,0,22,17,10
193,3,38,9,3
194,5,13,16,3
195,13,18,13,7
196,5,27,5,2
197,3,14,10,0
198,2,19,5,0
199,2,15,3,0
200,1,18,5,3
201,1,20,4,2
202,0,22,9,9
204,2,8,2,1
205,2,19,9,5
206,0,30,7,7
207,2,15,12,7
208,7,12,9,3
209,4,21,9,2
210,14,12,17,8
211,3,19,3,6
213,9,22,14,10
215,2,15,19,8
216,4,14,13,9
217,1,22,11,9
218,3,12,12,1
219,6,13,1,2
220,0,25,16,25
222,7,23,18,7
223,1,22,13,4
224,9,7,8,5
226,5,21,19,8
227,1,27,16,6
228,28,55,32,8
229,4,15,3,1
230,2,15,8,2
232,0,16,18,7
234,3,19,6,1
235,2,13,5,1
236,2,18,10,4
237,3,15,7,1
239,0,21,6,11
240,13,17,17,9
241,10,17,12,9
242,2,19,15,11
243,5,14,8,3
244,3,5,3,1
245,1,15,1,3
247,8,16,7,1
248,3,19,15,6
249,0,16,4,3
252,2,12,3,4
254,1,7,6,0
256,3,6,6,0
257,8,28,24,15
258,0,5,6,1
259,4,16,11,0
260,4,3,5,1
261,3,22,5,5
262,0,12,4,1
263,17,22,27,3
266,13,23,13,21
267,0,17,7,2
268,0,2,6,1
269,1,13,5,8
272,4,19,19,7
274,4,25,21,8
275,1,18,3,6
281,2,8,3,5
282,2,10,8,3
283,2,18,8,4
285,2,22,10,8
287,4,18,10,7
288,6,12,11,7
289,3,25,9,2
290,2,4,1,0
291,2,19,7,13
292,5,30,14,6
295,1,8,3,1
296,3,20,5,3
298,1,19,4,13
299,4,1,3,0
300,13,24,9,19
301,2,23,7,7
302,2,18,11,6
303,1,6,5,1
304,20,27,23,16
305,4,24,21,6
306,23,23,21,8
308,1,7,2,0
310,21,24,36,18
311,8,29,24,12
312,0,20,9,3
313,8,21,13,5
314,0,15,8,4
316,5,17,6,4
317,6,20,3,12
319,3,18,15,11
320,0,14,4,1
322,5,13,4,0
323,0,17,1,2
324,0,18,6,0
325,1,20,10,16
327,0,10,1,1
328,4,16,8,13
329,7,21,14,3
331,5,16,2,2
332,0,15,2,4
333,13,25,34,10
334,7,23,13,11
337,7,24,28,12
338,0,21,2,2
339,5,23,18,5
340,2,10,6,1
342,2,22,11,21
343,3,15,10,3
344,2,19,7,16
345,3,16,18,10
346,10,22,13,5
347,3,27,11,19
350,11,18,10,17
351,14,19,29,13
352,1,20,19,10
358,4,13,8,8
360,1,19,5,0
362,12,29,28,15
366,5,10,2,1
370,2,15,25,12
371,3,13,2,2
372,7,26,15,12
373,5,18,17,2
374,0,21,6,2
375,8,11,4,10
378,11,35,19,9
379,0,14,1,1
380,1,18,9,4
381,1,16,6,7
382,0,12,3,5
383,10,18,12,14
384,4,23,10,2
386,2,8,5,0
387,4,14,4,4
388,1,19,10,1
390,5,13,7,5
391,2,19,12,5
392,4,19,10,6
394,3,16,10,7
396,1,14,3,2
398,5,11,8,8
399,12,34,32,12
401,1,16,4,9
403,3,20,4,8
406,8,11,14,9
407,5,20,12,8
409,6,27,31,11
410,9,14,11,4
